ID,ID,Genre List
162,11397,[['Comedy']]
163,9778,"[['Comedy', 'Romance', 'Drama']]"
164,5279,"[['Drama', 'Mystery', 'Thriller']]"
165,8007,"[['Action', 'Drama', 'Thriller', 'War']]"
166,10950,[['Drama']]
167,9398,[['Comedy']]
168,855,"[['Action', 'History', 'War']]"
169,1995,"[['Adventure', 'Fantasy', 'Action', 'Thriller']]"
170,39939,"[['Comedy', 'Crime', 'Mystery']]"
171,16300,"[['Fantasy', 'Comedy', 'Science Fiction', 'Romance']]"
172,2043,"[['Crime', 'Mystery', 'Thriller', 'Action']]"
173,17708,"[['Action', 'Comedy', 'Crime']]"
174,16161,"[['Crime', 'Drama', 'Romance', 'Thriller']]"
175,2140,"[['Action', 'Crime', 'Thriller']]"
176,8386,[['Comedy']]
177,943822,"[['Drama', 'History']]"
178,11090,[['Comedy']]
179,6073,"[['Action', 'Comedy', 'Crime', 'Romance']]"
180,10956,"[['Mystery', 'Adventure', 'Comedy', 'Romance', 'Drama']]"
181,9896,"[['Adventure', 'Comedy']]"
182,744775,[['Documentary']]
183,2294,[['Comedy']]
184,824,"[['Drama', 'Romance', 'Music']]"
185,15647,[['Comedy']]
186,24936,"[['Mystery', 'Thriller', 'Crime', 'Drama']]"
187,10833,"[['Comedy', 'Romance', 'Crime']]"
188,12103,"[['Thriller', 'Mystery']]"
189,9290,"[['Adventure', 'Comedy']]"
190,12658,"[['Comedy', 'Romance']]"
191,10691,"[['Drama', 'Romance']]"
192,11371,"[['Action', 'Crime', 'Thriller', 'Mystery']]"
193,10646,"[['Comedy', 'Romance']]"
194,11470,"[['Horror', 'Science Fiction']]"
195,12149,"[['Drama', 'Thriller', 'Crime']]"
196,10877,"[['Action', 'Crime', 'Thriller']]"
197,23949,[['Drama']]
198,15745,"[['Comedy', 'Crime']]"
199,13166,[['Comedy']]
200,395763,[['Thriller']]
201,4133,"[['Crime', 'Drama']]"
202,9378,"[['Horror', 'Thriller']]"
203,1548,"[['Comedy', 'Drama']]"
204,597891,[['Action']]
205,10866,"[['Mystery', 'Thriller', 'Drama']]"
206,4012,[['Drama']]
207,10972,"[['Horror', 'Mystery']]"
208,10878,"[['Comedy', 'Crime', 'Romance']]"
209,13403,"[['Comedy', 'Music', 'Drama']]"
210,768,"[['Horror', 'Mystery', 'Thriller']]"
211,24940,"[['Romance', 'Comedy']]"
212,10615,"[['Action', 'Comedy']]"
213,15192,"[['Drama', 'War']]"
214,141,"[['Fantasy', 'Drama', 'Mystery']]"
215,2171,[['Comedy']]
216,10796,"[['Action', 'Science Fiction', 'Thriller']]"
217,20794,"[['Comedy', 'Crime', 'Thriller']]"
218,11313,[['Drama']]
219,2575,"[['Drama', 'Thriller']]"
220,185789,"[['Thriller', 'TV Movie', 'Drama', 'Mystery']]"
221,2084,"[['Comedy', 'Crime', 'Thriller']]"
222,9683,"[['Comedy', 'Adventure', 'Romance']]"
223,9476,"[['Adventure', 'Drama', 'Romance', 'Action']]"
224,10984,"[['Horror', 'Thriller']]"
225,14369,[['Comedy']]
226,10050,"[['Comedy', 'Romance']]"
227,11457,[['Drama']]
228,2144,"[['Comedy', 'Crime']]"
229,2176,"[['Drama', 'Thriller']]"
230,10778,"[['Crime', 'Drama']]"
231,11370,"[['Adventure', 'Action', 'Family', 'Romance']]"
232,647117,"[['Drama', 'Romance']]"
233,26602,"[['Comedy', 'Romance']]"
234,1921,"[['Drama', 'Romance']]"
235,5955,"[['Crime', 'Drama', 'Mystery', 'Thriller']]"
236,336004,"[['Action', 'Crime', 'Thriller']]"
237,11469,"[['Comedy', 'Fantasy', 'Adventure']]"
238,853,"[['Drama', 'War', 'History']]"
239,167,"[['Science Fiction', 'Drama']]"
240,10696,"[['Drama', 'Music', 'Romance']]"
241,11091,"[['Comedy', 'Drama', 'Romance']]"
242,9989,"[['Action', 'Crime', 'Drama']]"
243,10016,"[['Action', 'Horror', 'Science Fiction']]"
244,20309,"[['Comedy', 'Romance']]"
245,644,"[['Drama', 'Science Fiction', 'Adventure']]"
246,13496,"[['Western', 'Action']]"
247,4965,"[['Action', 'Science Fiction', 'Thriller']]"
248,19366,"[['Comedy', 'Music']]"
249,2057,"[['Thriller', 'Drama', 'Mystery', 'Romance']]"
250,2779,"[['Comedy', 'Crime', 'Romance']]"
251,6440,"[['Drama', 'Romance']]"
252,14034,"[['Action', 'Comedy', 'Crime']]"
253,5852,"[['Drama', 'Romance', 'Thriller']]"
254,11456,"[['Thriller', 'Crime', 'Mystery']]"
255,56715,"[['Comedy', 'Fantasy', 'Science Fiction']]"
256,1722,"[['Drama', 'Romance', 'War']]"
257,9705,"[['Action', 'Crime', 'Thriller']]"
258,3172,"[['Comedy', 'Crime']]"
259,2749,"[['Action', 'Crime', 'Thriller']]"
260,10865,"[['Animation', 'Family', 'Adventure', 'Science Fiction']]"
261,12508,"[['Music', 'Drama', 'Comedy']]"
262,9397,"[['Comedy', 'Science Fiction', 'Action']]"
263,11086,"[['Drama', 'Romance']]"
264,12138,"[['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']]"
265,8489,[['Drama']]
266,1535,"[['Action', 'Crime', 'Thriller']]"
267,2100,"[['Action', 'Drama', 'Thriller']]"
268,12610,"[['Adventure', 'Animation', 'Action', 'Comedy', 'Family']]"
269,10477,"[['Action', 'Drama']]"
270,23685,"[['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Science Fiction']]"
271,2114,"[['Adventure', 'Action', 'Fantasy', 'Science Fiction', 'Thriller', 'Romance', 'Animation']]"
272,634649,"[['Action', 'Adventure', 'Science Fiction']]"
273,121,"[['Adventure', 'Fantasy', 'Action']]"
274,8346,"[['Comedy', 'Drama', 'Romance']]"
275,1894,"[['Adventure', 'Action', 'Science Fiction']]"
276,672,"[['Adventure', 'Fantasy']]"
277,2675,"[['Drama', 'Thriller', 'Science Fiction', 'Mystery']]"
278,818,"[['Comedy', 'Crime', 'Science Fiction']]"
279,1574,"[['Comedy', 'Crime', 'Drama']]"
280,425,"[['Animation', 'Comedy', 'Family', 'Adventure']]"
281,640,"[['Drama', 'Crime']]"
282,11529,"[['Comedy', 'Romance']]"
283,565,"[['Horror', 'Mystery']]"
284,2022,"[['Comedy', 'Romance']]"
285,65,"[['Drama', 'Music']]"
286,9021,"[['Fantasy', 'Comedy', 'Family']]"
287,7451,"[['Action', 'Adventure', 'Thriller']]"
288,9637,"[['Mystery', 'Adventure', 'Comedy']]"
289,11544,"[['Animation', 'Family']]"
290,10611,"[['Comedy', 'Drama']]"
291,2501,"[['Action', 'Drama', 'Mystery', 'Thriller']]"
292,608,"[['Action', 'Adventure', 'Comedy', 'Science Fiction']]"
293,14635,"[['Drama', 'Family']]"
294,4614,"[['Thriller', 'Action', 'Drama']]"
295,4547,"[['Crime', 'Drama', 'Thriller']]"
296,11888,"[['Comedy', 'Family', 'Adventure']]"
297,9488,"[['Action', 'Adventure', 'Family', 'Comedy', 'Science Fiction']]"
298,9583,"[['Comedy', 'Drama']]"
299,7303,"[['Comedy', 'Drama', 'Romance']]"
300,13497,"[['Drama', 'Romance', 'Comedy', 'Music']]"
301,8470,"[['Drama', 'Thriller', 'Crime']]"
302,2755,"[['Drama', 'Comedy']]"
303,1817,[['Thriller']]
304,11870,"[['Family', 'Comedy', 'Adventure']]"
305,2642,"[['Comedy', 'Romance']]"
306,9334,"[['Action', 'Adventure', 'Fantasy']]"
307,180,"[['Action', 'Thriller', 'Science Fiction', 'Mystery']]"
308,10229,"[['Drama', 'Romance']]"
309,16690,"[['Adventure', 'Fantasy', 'Animation', 'Family']]"
310,36586,"[['Fantasy', 'Horror', 'Action', 'Thriller']]"
311,15392,"[['Drama', 'Music', 'Mystery', 'Romance']]"
312,4147,"[['Crime', 'Drama', 'Thriller']]"
313,13908,"[['Comedy', 'Family']]"
314,10426,[['Comedy']]
315,11857,"[['Comedy', 'Drama']]"
316,1537,[['Thriller']]
317,21972,"[['Family', 'Comedy', 'Fantasy']]"
318,320,"[['Crime', 'Mystery', 'Thriller']]"
319,2752,"[['Comedy', 'Romance']]"
320,9034,"[['Comedy', 'Drama']]"
321,11547,[['Horror']]
322,9357,"[['Drama', 'Thriller']]"
323,11362,"[['Adventure', 'Drama', 'History']]"
324,36669,"[['Adventure', 'Action', 'Thriller']]"
325,20616,[['Thriller']]
326,11442,"[['Horror', 'Thriller']]"
327,10985,[['Comedy']]
328,590,[['Drama']]
329,11452,"[['Comedy', 'Romance']]"
330,9266,"[['Adventure', 'Romance', 'Drama']]"
331,9533,"[['Crime', 'Drama', 'Thriller']]"
332,14317,"[['Animation', 'Adventure', 'Family']]"
333,12277,"[['Action', 'Comedy']]"
334,1360,"[['Drama', 'Romance']]"
335,11056,[['Horror']]
336,245,"[['Drama', 'Comedy', 'Romance']]"
337,15028,"[['Adventure', 'Family', 'Science Fiction', 'Thriller']]"
338,13950,"[['Action', 'Adventure', 'Comedy']]"
339,9645,"[['Horror', 'Mystery', 'Thriller']]"
340,13435,"[['Drama', 'Romance']]"
341,1429,"[['Crime', 'Drama']]"
342,1576,"[['Horror', 'Action', 'Science Fiction']]"
343,11891,"[['Comedy', 'Action']]"
344,9962,"[['Drama', 'Comedy', 'Romance']]"
345,4108,"[['Action', 'Crime', 'Thriller']]"
346,13768,"[['Drama', 'Family', 'Fantasy', 'Romance']]"
347,11022,"[['Crime', 'Drama', 'Thriller', 'Mystery']]"
348,2637,"[['Drama', 'Horror', 'Mystery']]"
349,2757,"[['Comedy', 'Crime', 'Drama']]"
350,10590,"[['Action', 'History', 'War']]"
351,2251,"[['Thriller', 'Drama']]"
352,10167,"[['Crime', 'Action', 'Thriller']]"
353,1809,"[['Drama', 'Romance', 'Comedy']]"
354,10712,"[['Drama', 'Romance']]"
355,1957,"[['Drama', 'Thriller']]"
356,17187,[['Drama']]
357,10994,[['Drama']]
358,9707,"[['Comedy', 'Horror', 'Thriller', 'Mystery', 'Fantasy']]"
359,11013,"[['Comedy', 'Drama', 'Romance']]"
360,10894,"[['Comedy', 'Drama', 'Horror']]"
361,11560,"[['Drama', 'Mystery', 'Thriller', 'Crime']]"
362,12079,"[['Comedy', 'Crime', 'Drama']]"
363,6020,[['Comedy']]
364,423,"[['Drama', 'War']]"
365,1956,"[['Drama', 'Adventure']]"
366,16028,"[['Horror', 'Thriller']]"
367,9685,"[['Comedy', 'Drama']]"
368,11979,"[['Drama', 'Fantasy', 'Horror']]"
369,14112,"[['Crime', 'Drama']]"
370,4911,"[['Crime', 'Drama', 'Thriller', 'Action']]"
371,9026,"[['Comedy', 'Drama', 'History', 'Romance']]"
372,9023,"[['Western', 'Animation', 'Adventure', 'Comedy', 'Family', 'Drama']]"
373,8051,"[['Drama', 'Comedy', 'Thriller', 'Romance']]"
374,15070,"[['Drama', 'Crime']]"
375,9027,"[['Comedy', 'Romance']]"
376,29339,"[['Adventure', 'Drama', 'Action', 'Family']]"
377,20009,"[['Comedy', 'Romance']]"
378,10771,"[['Thriller', 'Action', 'Comedy', 'Science Fiction']]"
379,16857,"[['Comedy', 'Drama']]"
380,13376,"[['Animation', 'Comedy', 'Music']]"
381,12770,"[['Action', 'Comedy', 'Drama', 'Crime']]"
382,9689,"[['Comedy', 'Drama']]"
383,9557,[['Comedy']]
384,9260,"[['Comedy', 'Crime']]"
385,12771,"[['Comedy', 'Romance']]"
386,8869,"[['Action', 'Comedy', 'Horror', 'Thriller']]"
387,4912,"[['Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']]"
388,31005,"[['Romance', 'Drama']]"
389,21484,[['Horror']]
390,9093,"[['War', 'Drama', 'Romance', 'Action', 'Adventure']]"
391,201,"[['Science Fiction', 'Action', 'Adventure', 'Thriller']]"
392,6278,"[['Adventure', 'Action', 'Fantasy']]"
393,8198,"[['Romance', 'Thriller', 'Drama']]"
394,11468,"[['Crime', 'Drama', 'Mystery', 'Thriller']]"
395,13536,"[['Crime', 'Drama', 'Mystery']]"
396,11892,"[['Crime', 'Drama', 'Thriller']]"
397,11812,"[['Romance', 'Comedy']]"
398,7299,"[['Action', 'Science Fiction', 'Thriller']]"
399,11458,"[['Drama', 'Thriller']]"
400,3131,"[['Drama', 'History', 'Crime']]"
401,9039,"[['Action', 'Crime', 'Thriller']]"
402,2134,"[['Thriller', 'Adventure', 'Fantasy', 'Science Fiction', 'Romance']]"
403,9573,"[['Crime', 'Thriller', 'Action']]"
