,IMDB_ID,original_title,year,date_published,genre 1 kaggle,genre 2 kaggle,genre 3 kaggle,duration,country,language_1,language_2,language_3,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,Budget - Inflation Adjusted, budget , USA Gross Income - Inflation Adjusted , usa_gross_income , WW Gross Income - Inflation Adjusted , worlwide_gross_income ,reviews_from_users,Unnamed: 0,Revenue,Release Date,Runtime,Original Title,ID.1,Popularity,Vote Average,Budget,Genre List,Vote Count
1764,tt1244754,Conviction,2010,5/11/10,Biography, Crime, Drama,107,"Switzerland, UK, USA",English,,,Tony Goldwyn,Pamela Gray,"Hilary Swank, Sam Rockwell, Thomas D. Mahard, Owen Campbell, Conor Donovan, Laurie Brown, John Pyper-Ferguson, Minnie Driver, Ele Bardha, Melissa Leo, Rusty Mewha, Marc Macaulay, Bailee Madison, Tobias Campbell, Frank Zieger",Hilary Swank,"Hilary Swank, Sam Rockwell","A working mother puts herself through law school in an effort to represent her brother, who has been wrongfully convicted of murder and has exhausted his chances to appeal his conviction through public defenders.",A working mother puts herself,7.2,41641,"$14,836,269.12 ","$12,500,000.00 ","$8,050,906.19 ","$6,783,129.00 ","$13,180,013.32 ","$11,104,555.00 ",111.0,1865,11826980,10/15/10,107,Conviction,45094,11.144,7.072,12500000,[['Drama']],519
1765,tt1245492,This Is the End,2013,18/07/2013,Comedy,,,107,USA,English,Spanish,,"Evan Goldberg, Seth Rogen","Seth Rogen, Evan Goldberg","James Franco, Jonah Hill, Seth Rogen, Jay Baruchel, Danny McBride, Craig Robinson, Michael Cera, Emma Watson, Mindy Kaling, David Krumholtz, Christopher Mintz-Plasse, Rihanna, Martin Starr, Paul Rudd, Channing Tatum",James Franco,"James Franco, Jonah Hill",Six Los Angeles celebrities are stuck in,Six Los Angeles celebrities are,6.6,378295,"$35,551,419.36 ","$32,000,000.00 ","$112,731,553.25 ","$101,470,202.00 ","$140,029,621.72 ","$126,041,322.00 ",765.0,2254,126041322,6/12/13,107,This Is the End,109414,32.123,6.223,32000000,"[['Action', 'Comedy']]",5731
1766,tt1245526,RED,2010,11/5/11,Action, Comedy, Crime,111,"USA, China",English,Russian,,Robert Schwentke,"Jon Hoeber, Erich Hoeber","Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Jefferson Brown, Karl Urban, Chris Owens, Rebecca Pidgeon, Morgan Freeman, Jaqueline Fleming, Randy Wade Kelley, Jason Giuliano, Alec Rayme, Lawrence Turner, Emily Kuroda, Joe Chrest",Bruce Willis,"Bruce Willis, Mary-Louise Parker","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.",When his peaceful life is threatened,7.0,284340,"$68,840,288.73 ","$58,000,000.00 ","$107,272,352.55 ","$90,380,162.00 ","$236,200,985.19 ","$199,006,387.00 ",370.0,1469,199000000,10/13/10,111,RED,39514,34.609,6.704,58000000,"[['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']]",6013
1767,tt1245526,RED,2010,11/5/11,Action, Comedy, Crime,111,"USA, China",English,Russian,,Robert Schwentke,"Jon Hoeber, Erich Hoeber","Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Jefferson Brown, Karl Urban, Chris Owens, Rebecca Pidgeon, Morgan Freeman, Jaqueline Fleming, Randy Wade Kelley, Jason Giuliano, Alec Rayme, Lawrence Turner, Emily Kuroda, Joe Chrest",Bruce Willis,"Bruce Willis, Mary-Louise Parker","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.",When his peaceful life is threatened,7.0,284340,"$68,840,288.73 ","$58,000,000.00 ","$107,272,352.55 ","$90,380,162.00 ","$236,200,985.19 ","$199,006,387.00 ",370.0,1470,199000000,10/13/10,111,RED,39514,34.609,6.704,58000000,"[['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']]",6013
1768,tt1245526,RED,2010,11/5/11,Action, Comedy, Crime,111,"USA, China",English,Russian,,Robert Schwentke,"Jon Hoeber, Erich Hoeber","Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Jefferson Brown, Karl Urban, Chris Owens, Rebecca Pidgeon, Morgan Freeman, Jaqueline Fleming, Randy Wade Kelley, Jason Giuliano, Alec Rayme, Lawrence Turner, Emily Kuroda, Joe Chrest",Bruce Willis,"Bruce Willis, Mary-Louise Parker","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.",When his peaceful life is threatened,7.0,284340,"$68,840,288.73 ","$58,000,000.00 ","$107,272,352.55 ","$90,380,162.00 ","$236,200,985.19 ","$199,006,387.00 ",370.0,1471,199000000,10/13/10,111,RED,39514,34.609,6.704,58000000,"[['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']]",6013
1769,tt1245526,RED,2010,11/5/11,Action, Comedy, Crime,111,"USA, China",English,Russian,,Robert Schwentke,"Jon Hoeber, Erich Hoeber","Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Jefferson Brown, Karl Urban, Chris Owens, Rebecca Pidgeon, Morgan Freeman, Jaqueline Fleming, Randy Wade Kelley, Jason Giuliano, Alec Rayme, Lawrence Turner, Emily Kuroda, Joe Chrest",Bruce Willis,"Bruce Willis, Mary-Louise Parker","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.",When his peaceful life is threatened,7.0,284340,"$68,840,288.73 ","$58,000,000.00 ","$107,272,352.55 ","$90,380,162.00 ","$236,200,985.19 ","$199,006,387.00 ",370.0,1472,199000000,10/13/10,111,RED,39514,34.609,6.704,58000000,"[['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']]",6013
1770,tt1245526,RED,2010,11/5/11,Action, Comedy, Crime,111,"USA, China",English,Russian,,Robert Schwentke,"Jon Hoeber, Erich Hoeber","Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Jefferson Brown, Karl Urban, Chris Owens, Rebecca Pidgeon, Morgan Freeman, Jaqueline Fleming, Randy Wade Kelley, Jason Giuliano, Alec Rayme, Lawrence Turner, Emily Kuroda, Joe Chrest",Bruce Willis,"Bruce Willis, Mary-Louise Parker","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.",When his peaceful life is threatened,7.0,284340,"$68,840,288.73 ","$58,000,000.00 ","$107,272,352.55 ","$90,380,162.00 ","$236,200,985.19 ","$199,006,387.00 ",370.0,1473,199000000,10/13/10,111,RED,39514,34.609,6.704,58000000,"[['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']]",6013
1771,tt1245526,RED,2010,11/5/11,Action, Comedy, Crime,111,"USA, China",English,Russian,,Robert Schwentke,"Jon Hoeber, Erich Hoeber","Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Jefferson Brown, Karl Urban, Chris Owens, Rebecca Pidgeon, Morgan Freeman, Jaqueline Fleming, Randy Wade Kelley, Jason Giuliano, Alec Rayme, Lawrence Turner, Emily Kuroda, Joe Chrest",Bruce Willis,"Bruce Willis, Mary-Louise Parker","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.",When his peaceful life is threatened,7.0,284340,"$68,840,288.73 ","$58,000,000.00 ","$107,272,352.55 ","$90,380,162.00 ","$236,200,985.19 ","$199,006,387.00 ",370.0,1474,199000000,10/13/10,111,RED,39514,34.609,6.704,58000000,"[['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']]",6013
1772,tt1245526,RED,2010,11/5/11,Action, Comedy, Crime,111,"USA, China",English,Russian,,Robert Schwentke,"Jon Hoeber, Erich Hoeber","Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Jefferson Brown, Karl Urban, Chris Owens, Rebecca Pidgeon, Morgan Freeman, Jaqueline Fleming, Randy Wade Kelley, Jason Giuliano, Alec Rayme, Lawrence Turner, Emily Kuroda, Joe Chrest",Bruce Willis,"Bruce Willis, Mary-Louise Parker","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.",When his peaceful life is threatened,7.0,284340,"$68,840,288.73 ","$58,000,000.00 ","$107,272,352.55 ","$90,380,162.00 ","$236,200,985.19 ","$199,006,387.00 ",370.0,1475,199000000,10/13/10,111,RED,39514,34.609,6.704,58000000,"[['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']]",6013
1773,tt1245526,RED,2010,11/5/11,Action, Comedy, Crime,111,"USA, China",English,Russian,,Robert Schwentke,"Jon Hoeber, Erich Hoeber","Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Jefferson Brown, Karl Urban, Chris Owens, Rebecca Pidgeon, Morgan Freeman, Jaqueline Fleming, Randy Wade Kelley, Jason Giuliano, Alec Rayme, Lawrence Turner, Emily Kuroda, Joe Chrest",Bruce Willis,"Bruce Willis, Mary-Louise Parker","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.",When his peaceful life is threatened,7.0,284340,"$68,840,288.73 ","$58,000,000.00 ","$107,272,352.55 ","$90,380,162.00 ","$236,200,985.19 ","$199,006,387.00 ",370.0,1476,199000000,10/13/10,111,RED,39514,34.609,6.704,58000000,"[['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']]",6013
