ID,ID,Budget,Popularity,Release Date,Revenue,Runtime,Vote Average,Vote Count,IMDB
109,11398,40000000,12.102,2000-08-25,30199105,117,5.736,420,tt0160009
110,11983,65000000,19.384,2000-12-08,0,135,6.074,678,tt0228750
111,10383,50000000,14.56,2000-10-13,31355910,97,5.1,145,tt0160484
112,11004,35000000,13.253,2000-02-22,0,111,6.825,510,tt0185014
113,10391,40000000,10.897,2000-08-11,0,107,5.3,241,tt0163983
114,118957,30000000,24.448,2012-09-05,32500000,93,5.7,666,tt1438173
115,2067,90000000,17.426,2000-03-10,60874615,114,5.994,1207,tt0183523
116,21355,57000000,11.157,2000-12-11,0,117,5.844,184,tt0149624
117,10501,95000000,52.261,2000-03-31,76432727,89,7.243,3366,tt0138749
118,11973,80000000,14.931,2000-12-25,34566746,145,7.001,628,tt0146309
119,9678,85000000,30.156,2000-11-10,58292295,90,5.871,1579,tt0185431
120,8452,82000000,22.398,2000-11-17,96085477,123,5.949,1742,tt0216216
121,889,83000000,20.773,2000-04-28,59468275,90,4.811,652,tt0158622
122,10461,63600000,19.809,2000-10-06,19412993,102,5.137,471,tt0208988
123,4958,80000000,15.666,2000-11-02,39459427,126,6.525,775,tt0146984
124,17711,76000000,13.639,2000-06-30,35134820,88,4.1,319,tt0131704
125,5491,73000000,15.83,2000-05-12,29000000,118,3.232,702,tt0185183
126,7450,75000000,20.123,2000-06-16,36754634,94,6.598,933,tt0120913
127,8870,80000000,12.631,2000-11-10,33463969,106,5.692,885,tt0199753
128,642208,0,16.66,2020-11-20,2506542,94,6.961,255,tt11169050
129,120,93000000,111.946,2001-12-18,871368364,179,8.395,22408,tt0120737
130,808,60000000,239.119,2001-05-18,487853320,90,7.7,15056,tt0126029
131,671,125000000,233.316,2001-11-16,976475550,152,7.9,24429,tt0241527
132,585,115000000,166.133,2001-11-01,579707738,92,7.828,16554,tt0198781
133,5175,90000000,50.882,2001-08-03,347325802,90,6.697,3479,tt0266915
134,2770,30000000,48.073,2001-08-10,287553595,108,6.2,4380,tt0252866
135,453,60000000,29.489,2001-12-11,313542341,135,7.853,9129,tt0268978
136,9799,38000000,11.616,2001-06-22,207283925,106,6.936,8746,tt0232500
137,1734,98000000,87.312,2001-05-04,443280904,130,6.333,6183,tt0209163
138,161,85000000,37.95,2001-12-07,450717150,116,7.42,10350,tt0240772
139,331,93000000,2.242,2001-07-18,368780809,92,6.119,6318,tt0163025
140,9880,37000000,37.768,2001-08-03,165335153,115,6.9,4415,tt0247638
141,871,5800000,47.355,1968-02-07,32589624,112,7.64,2895,tt0063442
142,1933,17000000,36.877,2001-08-02,209947037,101,7.619,5619,tt0230600
143,8835,18000000,47.315,2001-07-13,141774679,96,6.735,3412,tt0250494
144,9740,87000000,7.65,2001-02-08,351692268,131,6.763,4117,tt0212985
145,9816,13000000,18.064,2001-01-12,131706809,113,6.561,1155,tt0206275
146,10054,35000000,43.562,2001-03-18,147934180,88,5.773,3025,tt0227538
147,676,140000000,60.189,2001-05-21,449220945,183,6.941,5687,tt0213149
148,12589,25000000,23.665,2001-12-21,80936232,83,5.914,771,tt0268397
149,11467,64400000,16.228,2001-07-17,138191428,102,5.7,721,tt0265029
150,634,25000000,35.82,2001-04-13,281929795,97,6.8,4460,tt0243155
151,10808,70000000,22.799,2001-06-22,176104344,87,5.301,1493,tt0240462
152,1999,1700000,14.351,2001-11-23,0,130,6.931,281,tt0247425
153,1027159,0,280.879,2023-01-26,0,92,6.1,54,tt22192398
154,1903,68000000,28.09,2001-01-22,203388341,136,6.8,3607,tt0259711
155,2034,45000000,52.228,2001-10-05,104876233,122,7.471,5086,tt0139654
156,9428,21000000,23.272,2001-10-05,71441250,110,7.489,3990,tt0265666
157,9889,40000000,27.345,2001-11-01,141069860,114,6.2,2559,tt0256380
158,717728,5000000,273.813,2022-09-15,5954938,88,5.75,681,tt14121726
159,1365,4000000,19.449,2001-06-07,44909486,113,6.8,826,tt0285742
160,4248,45000000,97.403,2001-07-04,141220678,83,5.781,4042,tt0257106
161,2018,35000000,18.036,2001-01-26,94728529,103,5.933,1489,tt0209475
162,11397,16000000,38.237,2001-12-07,66468332,89,5.779,1753,tt0277371
163,9778,28000000,20.04,2001-10-05,77516304,90,6.889,1672,tt0240890
164,5279,19800000,17.74,2001-11-07,87754044,137,6.866,931,tt0280707
165,8007,40000000,30.342,2001-11-30,91753202,106,6.29,1241,tt0159273
166,10950,22000000,31.642,2001-12-28,92542418,132,7.569,2015,tt0277027
167,9398,28000000,33.974,2001-09-28,60780981,90,6.191,3908,tt0196229
168,855,92000000,47.427,2001-12-28,172989651,145,7.365,4958,tt0265086
169,1995,115000000,30.875,2001-06-11,274703340,100,5.869,5524,tt0146316
170,39939,1200000,14.581,2001-02-15,18492362,100,6.6,914,tt0247745
171,16300,30000000,12.55,2001-02-16,71186502,87,5.531,359,tt0231775
172,2043,60000000,25.747,2001-04-06,105178561,104,6.332,1591,tt0164334
173,17708,11000000,12.773,2001-10-12,23978402,86,4.237,139,tt0250310
174,16161,16000000,21.633,2001-06-27,29381649,130,7.171,258,tt0255819
175,2140,25000000,24.63,2001-07-06,64437847,98,6.815,1002,tt0271027
176,8386,12000000,21.001,2001-12-21,31155435,93,6.306,820,tt0278488
177,943822,0,2682.314,2022-06-30,0,107,7.202,57,tt4471908
178,11090,22000000,23.431,2001-06-01,84772742,84,5.087,1072,tt0255798
179,6073,57000000,16.331,2001-03-01,147845033,123,5.89,1240,tt0236493
180,10956,17700000,16.08,2001-04-10,30987695,91,5.598,633,tt0245686
181,9896,48000000,25.506,2001-08-17,85498534,112,6.237,1554,tt0250687
182,744775,0,0.6,,0,90,0.0,0,tt0124177
183,2294,22000000,17.328,2001-08-24,33788161,104,6.421,1324,tt0261392
184,824,52500000,22.901,2001-05-24,179213434,128,7.59,4073,tt0203009
185,15647,1000000,15.083,2002-03-13,10013424,97,6.0,179,tt0264761
186,24936,3000000,8.851,2001-01-21,10031529,101,6.1,124,tt0250323
187,10833,35000000,20.722,2001-03-23,57756408,123,6.051,774,tt0125022
188,12103,50000000,20.871,2001-09-28,100020092,113,6.218,786,tt0260866
189,9290,21150000,15.308,2001-04-12,39438674,95,5.242,530,tt0231402
190,12658,23000000,16.139,2001-03-30,38689940,97,5.967,337,tt0244970
191,10691,13000000,11.989,2001-06-29,16929123,99,6.605,296,tt0250224
192,11371,68000000,17.937,2001-07-13,113579918,124,6.689,1405,tt0227445
193,10646,11000000,12.577,2001-03-30,23430766,95,5.1,215,tt0246989
194,11470,11000000,30.974,2001-11-09,16951798,91,4.826,1130,tt0211443
195,12149,11000000,18.248,2001-11-17,17423030,100,6.974,981,tt0264616
196,10877,50000000,15.97,2001-03-13,79958599,101,5.681,396,tt0242445
197,23949,100000,8.02,2001-11-02,490475,86,6.869,177,tt0275719
198,15745,5000000,9.593,2001-07-13,5476060,94,5.983,152,tt0227005
199,13166,14000000,9.413,2001-04-18,14343028,87,4.578,345,tt0240515
200,395763,0,14.588,2016-11-16,0,99,5.862,224,tt5598110
201,4133,53000000,28.346,2001-04-04,83282296,124,7.367,3862,tt0221027
202,9378,42000000,50.009,2001-10-26,68467960,91,6.214,1788,tt0245674
203,1548,7000000,11.055,2001-07-20,0,111,7.097,1197,tt0162346
204,597891,0,34.179,2021-09-10,0,106,6.689,1232,tt7737528
205,10866,23000000,27.895,2001-10-05,36642838,97,6.49,994,tt0206314
206,4012,1500000,16.716,2001-08-23,1309316,98,6.916,516,tt0247199
