Row Labels,Sum of usa_gross_profit,Sum of usa_gross_income,Sum of budget,Sum of avg_vote,Year,Row Labels,
The Pink Panther 2,-34077022,35922978,70000000,5.6,2009,The Pink Panther 2,
The Taking of Pelham 123,-34547688,65452312,100000000,6.4,2009,The Taking of Pelham 123,
Imagine That,-38876677,16123323,55000000,5.6,2009,Imagine That,
Surrogates,-41422228,38577772,80000000,6.3,2009,Surrogates,
Astro Boy,-45448933,19551067,65000000,6.3,2009,Astro Boy,
Mr. Nobody,-46996378,3622,47000000,7.8,2009,Mr. Nobody,
Land of the Lost,-50561630,49438370,100000000,5.3,2009,Land of the Lost,
Nine,-60323035,19676965,80000000,5.8,2009,Nine,
A Christmas Carol,-62144137,137855863,200000000,6.8,2009,A Christmas Carol,
Terminator Salvation,-74677531,125322469,200000000,6.5,2009,Terminator Salvation,
The Twilight Saga: Eclipse,232531751,300531751,68000000,5,2010,The Twilight Saga: Eclipse,
Toy Story 3,215004880,415004880,200000000,8.3,2010,Toy Story 3,
Despicable Me,182513985,251513985,69000000,7.6,2010,Despicable Me,
The Karate Kid,136591618,176591618,40000000,6.2,2010,The Karate Kid,
Alice in Wonderland,134191110,334191110,200000000,6.4,2010,Alice in Wonderland,
True Grit,133243005,171243005,38000000,7.6,2010,True Grit,
Inception,132576195,292576195,160000000,8.8,2010,Inception,
The King's Speech,123797449,138797449,15000000,8,2010,The King's Speech,
Iron Man 2,112433331,312433331,200000000,7,2010,Iron Man 2,
Black Swan,93954678,106954678,13000000,8,2010,Black Swan,
Grown Ups,82001186,162001186,80000000,5.9,2010,Grown Ups,
Paranormal Activity 2,81752907,84752907,3000000,5.6,2010,Paranormal Activity 2,
Shrek Forever After,73736787,238736787,165000000,6.3,2010,Shrek Forever After,
The Fighter,68617009,93617009,25000000,7.8,2010,The Fighter,
Valentine's Day,58485654,110485654,52000000,5.7,2010,Valentine's Day,
The Social Network,56962694,96962694,40000000,7.7,2010,The Social Network,
The Town,55186262,92186262,37000000,7.5,2010,The Town,
Dear John,55014842,80014842,25000000,6.3,2010,Dear John,
How to Train Your Dragon,52581231,217581231,165000000,8.1,2010,How to Train Your Dragon,
Insidious,52509150,54009150,1500000,6.8,2010,Insidious,
Easy A,50401464,58401464,8000000,7,2010,Easy A,
Diary of a Wimpy Kid,49003625,64003625,15000000,6.2,2010,Diary of a Wimpy Kid,
Little Fockers,48438600,148438600,100000000,5.5,2010,Little Fockers,
Shutter Island,48012934,128012934,80000000,8.2,2010,Shutter Island,
Date Night,43711404,98711404,55000000,6.3,2010,Date Night,
The Last Song,42950384,62950384,20000000,6,2010,The Last Song,
The Last Exorcism,39234350,41034350,1800000,5.6,2010,The Last Exorcism,
Clash of the Titans,38214888,163214888,125000000,5.8,2010,Clash of the Titans,
Due Date,35539043,100539043,65000000,6.5,2010,Due Date,
RED,32380162,90380162,58000000,7,2010,RED,
A Nightmare on Elm Street,28075011,63075011,35000000,5.2,2010,A Nightmare on Elm Street,
The Bounty Hunter,27061228,67061228,40000000,5.6,2010,The Bounty Hunter,
Takers,25744720,57744720,32000000,6.2,2010,Takers,
Saw 3D,25710178,45710178,20000000,5.6,2010,Saw 3D,
Secretariat,24713955,59713955,35000000,7.2,2010,Secretariat,
Devil,23601190,33601190,10000000,6.2,2010,Devil,
The Expendables,23068524,103068524,80000000,6.5,2010,The Expendables,
Letters to Juliet,23032453,53032453,30000000,6.5,2010,Letters to Juliet,
Death at a Funeral,21739347,42739347,21000000,5.7,2010,Death at a Funeral,
Get Him to the Greek,20974475,60974475,40000000,6.4,2010,Get Him to the Greek,
Eat Pray Love,20574010,80574010,60000000,5.8,2010,Eat Pray Love,
Yogi Bear,20246011,100246011,80000000,4.6,2010,Yogi Bear,
The Other Guys,19219978,119219978,100000000,6.6,2010,The Other Guys,
The Crazies,19123589,39123589,20000000,6.5,2010,The Crazies,
Megamind,18415853,148415853,130000000,7.2,2010,Megamind,
Kick-Ass,18071303,48071303,30000000,7.6,2010,Kick-Ass,
The Kids Are All Right,16811365,20811365,4000000,7,2010,The Kids Are All Right,
Vampires Suck,16661504,36661504,20000000,3.4,2010,Vampires Suck,
Machete,16093646,26593646,10500000,6.6,2010,Machete,
The American,15606376,35606376,20000000,6.3,2010,The American,
Life as We Know It,15374681,53374681,38000000,6.5,2010,Life as We Know It,
Cop Out,14875481,44875481,30000000,5.6,2010,Cop Out,
The Book of Eli,14835059,94835059,80000000,6.9,2010,The Book of Eli,
Hot Tub Time Machine,14287556,50287556,36000000,6.4,2010,Hot Tub Time Machine,
Legion,14168080,40168080,26000000,5.2,2010,Legion,
Step Up 3D,12400223,42400223,30000000,6.2,2010,Step Up 3D,
Tooth Fairy,12022256,60022256,48000000,5,2010,Tooth Fairy,
She's Out of My League,12010860,32010860,20000000,6.4,2010,She's Out of My League,
Predators,12000688,52000688,40000000,6.4,2010,Predators,
Skyline,11393620,21393620,10000000,4.4,2010,Skyline,
The Debt,11177548,31177548,20000000,6.8,2010,The Debt,
Ramona and Beezus,11167002,26167002,15000000,6.5,2010,Ramona and Beezus,
The Switch,8779426,27779426,19000000,6.1,2010,The Switch,
Blue Valentine,8706328,9706328,1000000,7.4,2010,Blue Valentine,
Salt,8311368,118311368,110000000,6.4,2010,Salt,
Lottery Ticket,7719879,24719879,17000000,5,2010,Lottery Ticket,
Leap Year,6918920,25918920,19000000,6.5,2010,Leap Year,
You Again,5702053,25702053,20000000,5.8,2010,You Again,
Country Strong,5218921,20218921,15000000,6.3,2010,Country Strong,
Alpha and Omega,5107267,25107267,20000000,5.2,2010,Alpha and Omega,
Winter's Bone,4531503,6531503,2000000,7.2,2010,Winter's Bone,
Dinner for Schmucks,4026337,73026337,69000000,5.9,2010,Dinner for Schmucks,
Remember Me,3068240,19068240,16000000,7.1,2010,Remember Me,
Beginners,2590894,5790894,3200000,7.2,2010,Beginners,
The Back-up Plan,2490007,37490007,35000000,5.4,2010,The Back-up Plan,
Love & Other Drugs,2367005,32367005,30000000,6.7,2010,Love & Other Drugs,
Tron,2062763,172062763,170000000,6.8,2010,Tron,
Please Give,1033574,4033574,3000000,6.6,2010,Please Give,
Piranha 3D,1003155,25003155,24000000,5.4,2010,Piranha 3D,
Cyrus,468936,7468936,7000000,6.3,2010,Cyrus,
127 Hours,335230,18335230,18000000,7.5,2010,127 Hours,
Tiny Furniture,326674,391674,65000,6.2,2010,Tiny Furniture,
Resident Evil: Afterlife,128566,60128566,60000000,5.8,2010,Resident Evil: Afterlife,
The Perfect Host,-451236,48764,500000,6.8,2010,The Perfect Host,
Stake Land,-616755,33245,650000,6.5,2010,Stake Land,
Hatchet II,-747396,52604,800000,5.5,2010,Hatchet II,
Faster,-759980,23240020,24000000,6.4,2010,Faster,
Don't Be Afraid of the Dark,-953318,24046682,25000000,5.6,2010,Don't Be Afraid of the Dark,
Meek's Cutoff,-1022228,977772,2000000,6.5,2010,Meek's Cutoff,
The Losers,-1408568,23591432,25000000,6.3,2010,The Losers,
MacGruber,-1474400,8525600,10000000,5.5,2010,MacGruber,
It's Kind of a Funny Story,-1636372,6363628,8000000,7.1,2010,It's Kind of a Funny Story,
I Spit on Your Grave,-1906949,93051,2000000,6.3,2010,I Spit on Your Grave,
Super,-2172284,327716,2500000,6.7,2010,Super,
Everything Must Go,-2288357,2711643,5000000,6.4,2010,Everything Must Go,
Rabbit Hole,-2770942,2229058,5000000,7,2010,Rabbit Hole,
The Spy Next Door,-3692914,24307086,28000000,5.4,2010,The Spy Next Door,
Trust,-3879984,120016,4000000,6.9,2010,Trust,
Dirty Girl,-3944875,55125,4000000,6.4,2010,Dirty Girl,
The Romantics,-4393476,106524,4500000,5.1,2010,The Romantics,
Sex and the City 2,-4652308,95347692,100000000,4.5,2010,Sex and the City 2,
Another Year,-4794294,3205706,8000000,7.3,2010,Another Year,
Twelve,-4816080,183920,5000000,5.7,2010,Twelve,
Waiting for Forever,-4974483,25517,5000000,6,2010,Waiting for Forever,
Somewhere,-5214355,1785645,7000000,6.3,2010,Somewhere,
Conviction,-5716871,6783129,12500000,7.2,2010,Conviction,
Nanny McPhee and the Big Bang,-5988785,29011215,35000000,6.1,2010,Nanny McPhee and the Big Bang,
Percy Jackson & the Olympians: The Lightning Thief,-6231697,88768303,95000000,5.9,2010,Percy Jackson & the Olympians: The Lightning Thief,
The Runaways,-6426327,3573673,10000000,6.5,2010,The Runaways,
Hesher,-6617054,382946,7000000,7,2010,Hesher,
Let Me In,-7865065,12134935,20000000,7.1,2010,Let Me In,
The Next Three Days,-8851349,21148651,30000000,7.4,2010,The Next Three Days,
Morning Glory,-8988268,31011732,40000000,6.5,2010,Morning Glory,
Vanishing on 7th Street,-9977271,22729,10000000,4.9,2010,Vanishing on 7th Street,
My Soul to Take,-10255565,14744435,25000000,4.8,2010,My Soul to Take,
The Company Men,-10558728,4441272,15000000,6.7,2010,The Company Men,
Centurion,-11876430,123570,12000000,6.4,2010,Centurion,
Henry's Crime,-11897459,102541,12000000,6,2010,Henry's Crime,
Flipped,-12244788,1755212,14000000,7.7,2010,Flipped,
Fair Game,-12459309,9540691,22000000,6.8,2010,Fair Game,
The Killer Inside Me,-12782723,217277,13000000,6.1,2010,The Killer Inside Me,
Charlie St. Cloud,-12837455,31162545,44000000,6.4,2010,Charlie St. Cloud,
The Conspirator,-13461796,11538204,25000000,6.9,2010,The Conspirator,
Going the Distance,-14195701,17804299,32000000,6.3,2010,Going the Distance,
Burlesque,-15559345,39440655,55000000,6.4,2010,Burlesque,
Marmaduke,-16355212,33644788,50000000,4.3,2010,Marmaduke,
Hereafter,-17253059,32746941,50000000,6.4,2010,Hereafter,
Furry Vengeance,-17369535,17630465,35000000,3.8,2010,Furry Vengeance,
Wall Street: Money Never Sleeps,-17525384,52474616,70000000,6.2,2010,Wall Street: Money Never Sleeps,
Repo Men,-18205165,13794835,32000000,6.3,2010,Repo Men,
The Last Airbender,-18227813,131772187,150000000,4,2010,The Last Airbender,
Unstoppable,-18437058,81562942,100000000,6.8,2010,Unstoppable,
You Will Meet a Tall Dark Stranger,-18751754,3248246,22000000,6.3,2010,You Will Meet a Tall Dark Stranger,
Dylan Dog: Dead of Night,-18813462,1186538,20000000,5.1,2010,Dylan Dog: Dead of Night,
Extraordinary Measures,-18931687,12068313,31000000,6.4,2010,Extraordinary Measures,
Stone,-20189922,1810078,22000000,5.4,2010,Stone,
When in Rome,-22319367,32680633,55000000,5.6,2010,When in Rome,
Legend of the Guardians: The Owls of Ga'Hoole,-24324687,55675313,80000000,6.9,2010,Legend of the Guardians: The Owls of Ga'Hoole,
London Boulevard,-24983925,16075,25000000,6.2,2010,London Boulevard,
The Way Back,-27298141,2701859,30000000,7.3,2010,The Way Back,
Killers,-27940037,47059963,75000000,5.5,2010,Killers,
Scott Pilgrim vs. the World,-28475725,31524275,60000000,7.5,2010,Scott Pilgrim vs. the World,
The Tourist,-32368843,67631157,100000000,6,2010,The Tourist,
The A-Team,-32777901,77222099,110000000,6.7,2010,The A-Team,
Jonah Hex,-36452883,10547117,47000000,4.7,2010,Jonah Hex,
Edge of Darkness,-36686110,43313890,80000000,6.6,2010,Edge of Darkness,
Knight and Day,-40576965,76423035,117000000,6.3,2010,Knight and Day,
Cats & Dogs: The Revenge of Kitty Galore,-41414247,43585753,85000000,4.3,2010,Cats & Dogs: The Revenge of Kitty Galore,
The Chronicles of Narnia: The Voyage of the Dawn Treader,-50613050,104386950,155000000,6.3,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,
Tangled,-59178064,200821936,260000000,7.7,2010,Tangled,
Green Zone,-64946340,35053660,100000000,6.8,2010,Green Zone,
Gulliver's Travels,-69220739,42779261,112000000,4.9,2010,Gulliver's Travels,
The Sorcerer's Apprentice,-86849009,63150991,150000000,6.1,2010,The Sorcerer's Apprentice,
The Wolfman,-88020320,61979680,150000000,5.8,2010,The Wolfman,
How Do You Know,-89787380,30212620,120000000,5.4,2010,How Do You Know,
Robin Hood,-94730270,105269730,200000000,6.6,2010,Robin Hood,
Prince of Persia: The Sands of Time,-109240324,90759676,200000000,6.6,2010,Prince of Persia: The Sands of Time,
Harry Potter and the Deathly Hallows: Part 2,256409310,381409310,125000000,8.1,2011,Harry Potter and the Deathly Hallows: Part 2,
The Hangover Part II,174464305,254464305,80000000,6.4,2011,The Hangover Part II,
The Twilight Saga: Breaking Dawn - Part 1,171287133,281287133,110000000,4.9,2011,The Twilight Saga: Breaking Dawn - Part 1,
Transformers: Dark of the Moon,157390543,352390543,195000000,6.2,2011,Transformers: Dark of the Moon,
The Help,144708112,169708112,25000000,8,2011,The Help,
Bridesmaids,136606725,169106725,32500000,6.8,2011,Bridesmaids,
Paranormal Activity 3,99028807,104028807,5000000,5.8,2011,Paranormal Activity 3,
Fast Five,84837675,209837675,125000000,7.3,2011,Fast Five,
Rise of the Planet of the Apes,83760185,176760185,93000000,7.6,2011,Rise of the Planet of the Apes,
Horrible Bosses,82538559,117538559,35000000,6.9,2011,Horrible Bosses,
Bad Teacher,80292856,100292856,20000000,5.6,2011,Bad Teacher,
Super 8,77004179,127004179,50000000,7,2011,Super 8,
Mission: Impossible - Ghost Protocol,64397903,209397903,145000000,7.4,2011,Mission: Impossible - Ghost Protocol,
Gnomeo & Juliet,63967670,99967670,36000000,5.9,2011,Gnomeo & Juliet,
The Descendants,62584160,82584160,20000000,7.3,2011,The Descendants,
Sherlock Holmes: A Game of Shadows,61848418,186848418,125000000,7.5,2011,Sherlock Holmes: A Game of Shadows,
Alvin and the Chipmunks: Chipwrecked,58110742,133110742,75000000,4.3,2011,Alvin and the Chipmunks: Chipwrecked,
Rio,53619809,143619809,90000000,6.9,2011,Rio,
Limitless,52249455,79249455,27000000,7.4,2011,Limitless,
No Strings Attached,45662220,70662220,25000000,6.2,2011,No Strings Attached,
Hop,45085305,108085305,63000000,5.4,2011,Hop,
The Muppets,43631237,88631237,45000000,7.1,2011,The Muppets,
Midnight in Paris,39817045,56817045,17000000,7.7,2011,Midnight in Paris,
Captain America: The First Avenger,36654505,176654505,140000000,6.9,2011,Captain America: The First Avenger,
The Best Exotic Marigold Hotel,36412041,46412041,10000000,7.2,2011,The Best Exotic Marigold Hotel,
Dolphin Tale,35286779,72286779,37000000,6.9,2011,Dolphin Tale,
"Crazy, Stupid, Love.",34351197,84351197,50000000,7.4,2011,"Crazy, Stupid, Love.",
Unknown,33686397,63686397,30000000,6.8,2011,Unknown,
The Smurfs,32614158,142614158,110000000,5.4,2011,The Smurfs,
Courageous,32522221,34522221,2000000,7,2011,Courageous,
Diary of a Wimpy Kid: Rodrick Rules,31698535,52698535,21000000,6.5,2011,Diary of a Wimpy Kid: Rodrick Rules,
Thor,31030624,181030624,150000000,7,2011,Thor,
The Artist,29671682,44671682,15000000,7.9,2011,The Artist,
The Ides of March,28462534,40962534,12500000,7.1,2011,The Ides of March,
Footloose,27802742,51802742,24000000,5.9,2011,Footloose,
50/50,27014192,35014192,8000000,7.6,2011,50/50,
The Grey,26580236,51580236,25000000,6.8,2011,The Grey,
Soul Surfer,25853424,43853424,18000000,7,2011,Soul Surfer,
We Bought a Zoo,25624550,75624550,50000000,7.1,2011,We Bought a Zoo,
Moneyball,25605492,75605492,50000000,7.6,2011,Moneyball,
Just Go with It,23028109,103028109,80000000,6.4,2011,Just Go with It,
Source Code,22712227,54712227,32000000,7.5,2011,Source Code,
The Roommate,21300000,37300000,16000000,4.8,2011,The Roommate,
Friends with Benefits,20802754,55802754,35000000,6.5,2011,Friends with Benefits,
Water for Elephants,20709717,58709717,38000000,6.9,2011,Water for Elephants,
Drive,20061555,35061555,15000000,7.8,2011,Drive,
Our Idiot Brother,19816118,24816118,5000000,6.4,2011,Our Idiot Brother,
Puss in Boots,19260504,149260504,130000000,6.6,2011,Puss in Boots,
The Lincoln Lawyer,18009200,58009200,40000000,7.3,2011,The Lincoln Lawyer,
You're Next,17494006,18494006,1000000,6.6,2011,You're Next,
A Very Harold & Kumar 3D Christmas,16061031,35061031,19000000,6.3,2011,A Very Harold & Kumar 3D Christmas,
Contagion,15658097,75658097,60000000,6.7,2011,Contagion,
Kung Fu Panda 2,15249063,165249063,150000000,7.2,2011,Kung Fu Panda 2,
War Horse,13884879,79884879,66000000,7.2,2011,War Horse,
Battle Los Angeles,13552429,83552429,70000000,5.7,2011,Battle Los Angeles,
Mr. Popper's Penguins,13224452,68224452,55000000,6,2011,Mr. Popper's Penguins,
Apollo 18,12687709,17687709,5000000,5.2,2011,Apollo 18,
The Girl with the Dragon Tattoo,12515793,102515793,90000000,7.8,2011,The Girl with the Dragon Tattoo,
The Adjustment Bureau,12295645,62495645,50200000,7,2011,The Adjustment Bureau,
The Cabin in the Woods,12073277,42073277,30000000,7,2011,The Cabin in the Woods,
Spy Kids 4: All the Time in the World,11538188,38538188,27000000,3.5,2011,Spy Kids 4: All the Time in the World,
Beastly,10865571,27865571,17000000,5.6,2011,Beastly,
Silent House,10754783,12754783,2000000,5.2,2011,Silent House,
Hanna,10259119,40259119,30000000,6.8,2011,Hanna,
Hall Pass,9060734,45060734,36000000,5.8,2011,Hall Pass,
30 Minutes or Less,9053924,37053924,28000000,6.1,2011,30 Minutes or Less,
Immortals,8504017,83504017,75000000,6,2011,Immortals,
"Big Mommas: Like Father, Like Son",5915414,37915414,32000000,4.4,2011,"Big Mommas: Like Father, Like Son",
Larry Crowne,5608245,35608245,30000000,6.1,2011,Larry Crowne,
The Sitter,5441326,30441326,25000000,5.7,2011,The Sitter,
Young Adult,4311571,16311571,12000000,6.2,2011,Young Adult,
Bernie,4206470,9206470,5000000,6.8,2011,Bernie,
Something Borrowed,4046489,39046489,35000000,5.9,2011,Something Borrowed,
Monte Carlo,3186769,23186769,20000000,5.8,2011,Monte Carlo,
Like Crazy,3145391,3395391,250000,6.7,2011,Like Crazy,
Tower Heist,3046570,78046570,75000000,6.2,2011,Tower Heist,
Final Destination 5,2587643,42587643,40000000,5.8,2011,Final Destination 5,
J. Edgar,2306030,37306030,35000000,6.5,2011,J. Edgar,
Prom,2130219,10130219,8000000,5.4,2011,Prom,
Margin Call,1854039,5354039,3500000,7.1,2011,Margin Call,
Your Sister's Sister,1511190,1636190,125000,6.7,2011,Your Sister's Sister,
Another Earth,1221194,1321194,100000,7,2011,Another Earth,
Zookeeper,360843,80360843,80000000,5.2,2011,Zookeeper,
The Innkeepers,-671604,78396,750000,5.4,2011,The Innkeepers,
One Day,-1156229,13843771,15000000,7,2011,One Day,
New Year's Eve,-1455362,54544638,56000000,5.7,2011,New Year's Eve,
Scream 4,-1819072,38180928,40000000,6.1,2011,Scream 4,
In Time,-2479905,37520095,40000000,6.7,2011,In Time,
Paul,-2587055,37412945,40000000,7,2011,Paul,
Shame,-2590998,3909002,6500000,7.2,2011,Shame,
Friends with Kids,-2748927,7251073,10000000,6.1,2011,Friends with Kids,
Red State,-2895318,1104682,4000000,6.2,2011,Red State,
Cedar Rapids,-3138898,6861102,10000000,6.2,2011,Cedar Rapids,
Take Shelter,-3269704,1730296,5000000,7.4,2011,Take Shelter,
Winnie the Pooh,-3307154,26692846,30000000,7.2,2011,Winnie the Pooh,
Colombiana,-3334146,36665854,40000000,6.4,2011,Colombiana,
The Rite,-3952367,33047633,37000000,6,2011,The Rite,
Haywire,-4057604,18942396,23000000,5.8,2011,Haywire,
Red Riding Hood,-4337838,37662162,42000000,5.5,2011,Red Riding Hood,
Jack and Jill,-4841843,74158157,79000000,3.3,2011,Jack and Jill,
I Am Number Four,-4899563,55100437,60000000,6.1,2011,I Am Number Four,
Albert Nobbs,-4985304,3014696,8000000,6.7,2011,Albert Nobbs,
Flypaper,-4994957,5043,5000000,6.4,2011,Flypaper,
Ghost Rider: Spirit of Vengeance,-5225998,51774002,57000000,4.3,2011,Ghost Rider: Spirit of Vengeance,
We Need to Talk About Kevin,-5261308,1738692,7000000,7.5,2011,We Need to Talk About Kevin,
The Eagle,-5509959,19490041,25000000,6.2,2011,The Eagle,
"Jeff, Who Lives at Home",-5730574,4269426,10000000,6.5,2011,"Jeff, Who Lives at Home",
What's Your Number?,-5988916,14011084,20000000,6.1,2011,What's Your Number?,
Shark Night 3D,-6122847,18877153,25000000,4,2011,Shark Night 3D,
Sanctum,-6790690,23209310,30000000,5.9,2011,Sanctum,
Abduction,-6912845,28087155,35000000,5.1,2011,Abduction,
Arthur,-6964603,33035397,40000000,5.7,2011,Arthur,
Bucky Larson: Born to Be a Star,-7470605,2529395,10000000,3.2,2011,Bucky Larson: Born to Be a Star,
Restless,-7836735,163265,8000000,6.8,2011,Restless,
Violet & Daisy,-7982814,17186,8000000,6.1,2011,Violet & Daisy,
Extremely Loud & Incredibly Close,-8152119,31847881,40000000,6.9,2011,Extremely Loud & Incredibly Close,
A Better Life,-8240748,1759252,10000000,7.2,2011,A Better Life,
Cars 2,-8547604,191452396,200000000,6.1,2011,Cars 2,
The Darkest Hour,-8556506,21443494,30000000,4.9,2011,The Darkest Hour,
Pirates of the Caribbean: On Stranger Tides,-8928198,241071802,250000000,6.6,2011,Pirates of the Caribbean: On Stranger Tides,
Killer Joe,-9012238,1987762,11000000,6.7,2011,Killer Joe,
The Ledge,-9990784,9216,10000000,6.5,2011,The Ledge,
Kill the Irishman,-10811806,1188194,12000000,7.1,2011,Kill the Irishman,
The Mechanic,-10878502,29121498,40000000,6.6,2011,The Mechanic,
Rampart,-11027488,972512,12000000,5.8,2011,Rampart,
Warrior,-11342885,13657115,25000000,8.2,2011,Warrior,
Rango,-11522393,123477607,135000000,7.2,2011,Rango,
Fright Night,-11697393,18302607,30000000,6.3,2011,Fright Night,
5 Days of War,-11982521,17479,12000000,5.6,2011,5 Days of War,
The Double,-13362079,137921,13500000,5.9,2011,The Double,
X: First Class,-13591695,146408305,160000000,7.7,2011,X: First Class,
Margaret,-13953505,46495,14000000,6.4,2011,Margaret,
I Don't Know How She Does It,-14337716,9662284,24000000,4.9,2011,I Don't Know How She Does It,
Straw Dogs,-14675559,10324441,25000000,5.8,2011,Straw Dogs,
The Change-Up,-14918525,37081475,52000000,6.3,2011,The Change-Up,
The Son of No One,-14969320,30680,15000000,5.1,2011,The Son of No One,
Season of the Witch,-15172772,24827228,40000000,5.4,2011,Season of the Witch,
Atlas Shrugged: Part I,-15372625,4627375,20000000,5.6,2011,Atlas Shrugged: Part I,
Take Me Home Tonight,-16071932,6928068,23000000,6.3,2011,Take Me Home Tonight,
Seeking Justice,-16588254,411746,17000000,6.2,2011,Seeking Justice,
The Tree of Life,-18696681,13303319,32000000,6.8,2011,The Tree of Life,
The Beaver,-20029184,970816,21000000,6.6,2011,The Beaver,
The Thing,-21071330,16928670,38000000,6.2,2011,The Thing,
The Green Hornet,-21219958,98780042,120000000,5.8,2011,The Green Hornet,
The Dilemma,-21524710,48475290,70000000,5.3,2011,The Dilemma,
Carnage,-22452953,2547047,25000000,7.2,2011,Carnage,
Real Steel,-24531492,85468508,110000000,7.1,2011,Real Steel,
Anonymous,-25536708,4463292,30000000,6.9,2011,Anonymous,
Your Highness,-28303555,21596445,49900000,5.5,2011,Your Highness,
Dream House,-28697660,21302340,50000000,6,2011,Dream House,
Machine Gun Preacher,-29461310,538690,30000000,6.8,2011,Machine Gun Preacher,
Priest,-30863000,29137000,60000000,5.7,2011,Priest,
The Rum Diary,-31890185,13109815,45000000,6.2,2011,The Rum Diary,
The Big Year,-33795862,7204138,41000000,6.2,2011,The Big Year,
Trespass,-34975906,24094,35000000,5.3,2011,Trespass,
Johnny English Reborn,-36694030,8305970,45000000,6.3,2011,Johnny English Reborn,
Drive Angry,-39278967,10721033,50000000,5.4,2011,Drive Angry,
Sucker Punch,-45607498,36392502,82000000,6,2011,Sucker Punch,
Arthur Christmas,-53537531,46462469,100000000,7.1,2011,Arthur Christmas,
The Three Musketeers,-54625516,20374484,75000000,5.7,2011,The Three Musketeers,
The Adventures of Tintin,-57408169,77591831,135000000,7.3,2011,The Adventures of Tintin,
Cowboys & Aliens,-62759449,100240551,163000000,6,2011,Cowboys & Aliens,
Conan the Barbarian,-68704979,21295021,90000000,5.2,2011,Conan the Barbarian,
Happy Feet Two,-70993534,64006466,135000000,5.9,2011,Happy Feet Two,
Hugo,-76135493,73864507,150000000,7.5,2011,Hugo,
Green Lantern,-83398828,116601172,200000000,5.5,2011,Green Lantern,
Mars Needs Moms,-128607242,21392758,150000000,5.4,2011,Mars Needs Moms,
The Avengers,403357910,623357910,220000000,8,2012,The Avengers,
The Hunger Games,330010692,408010692,78000000,7.2,2012,The Hunger Games,
The Dark Knight Rises,198139099,448139099,250000000,8.4,2012,The Dark Knight Rises,
The Twilight Saga: Breaking Dawn - Part 2,172324737,292324737,120000000,5.5,2012,The Twilight Saga: Breaking Dawn - Part 2,
Ted,168815487,218815487,50000000,6.9,2012,Ted,
The Lorax,144030500,214030500,70000000,6.4,2012,The Lorax,
The Hobbit: An Unexpected Journey,123003568,303003568,180000000,7.8,2012,The Hobbit: An Unexpected Journey,
Lincoln,117207973,182207973,65000000,7.3,2012,Lincoln,
Silver Linings Playbook,111092958,132092958,21000000,7.7,2012,Silver Linings Playbook,
Magic Mike,106721571,113721571,7000000,6.1,2012,Magic Mike,
Skyfall,104360277,304360277,200000000,7.7,2012,Skyfall,
21 Jump Street,96447667,138447667,42000000,7.2,2012,21 Jump Street,
The Vow,95014030,125014030,30000000,6.8,2012,The Vow,
Taken 2,94854287,139854287,45000000,6.3,2012,Taken 2,
Argo,91525503,136025503,44500000,7.7,2012,Argo,
Les Misérables,87809770,148809770,61000000,7.6,2012,Les Misérables,
Think Like a Man,79547205,91547205,12000000,6.6,2012,Think Like a Man,
Madagascar 3: Europe's Most Wanted,71391482,216391482,145000000,6.8,2012,Madagascar 3: Europe's Most Wanted,
Ice Age: Continental Drift,66321843,161321843,95000000,6.6,2012,Ice Age: Continental Drift,
Hotel Transylvania,63313048,148313048,85000000,7.1,2012,Hotel Transylvania,
Django Unchained,62805434,162805434,100000000,8.4,2012,Django Unchained,
Flight,62772375,93772375,31000000,7.3,2012,Flight,
Act of Valor,58012847,70012847,12000000,6.5,2012,Act of Valor,
Zero Dark Thirty,55720716,95720716,40000000,7.4,2012,Zero Dark Thirty,
Chronicle,52575175,64575175,12000000,7,2012,Chronicle,
Brave,52283207,237283207,185000000,7.1,2012,Brave,
Parental Guidance,52267296,77267296,25000000,6,2012,Parental Guidance,
The Devil Inside,52261944,53261944,1000000,4.2,2012,The Devil Inside,
Paranormal Activity 4,48885000,53885000,5000000,4.6,2012,Paranormal Activity 4,
Pitch Perfect,48001093,65001093,17000000,7.2,2012,Pitch Perfect,
Sinister,45086903,48086903,3000000,6.8,2012,Sinister,
Project X,42731865,54731865,12000000,6.6,2012,Project X,
Contraband,41528000,66528000,25000000,6.5,2012,Contraband,
Safe House,41373434,126373434,85000000,6.7,2012,Safe House,
The Woman in Black,37333290,54333290,17000000,6.4,2012,The Woman in Black,
Looper,36486205,66486205,30000000,7.4,2012,Looper,
The Lucky One,35457138,60457138,25000000,6.5,2012,The Lucky One,
The Possession,35130154,49130154,14000000,5.9,2012,The Possession,
End of Watch,34003371,41003371,7000000,7.6,2012,End of Watch,
Hope Springs,33536011,63536011,30000000,6.3,2012,Hope Springs,
This Is 40,32544505,67544505,35000000,6.2,2012,This Is 40,
The Amazing Spider-Man,32030663,262030663,230000000,6.9,2012,The Amazing Spider-Man,
Moonrise Kingdom,29512466,45512466,16000000,7.8,2012,Moonrise Kingdom,
Diary of a Wimpy Kid: Dog Days,27008662,49008662,22000000,6.3,2012,Diary of a Wimpy Kid: Dog Days,
The Odd Life of Timothy Green,26854875,51854875,25000000,6.6,2012,The Odd Life of Timothy Green,
Journey 2: The Mysterious Island,24860290,103860290,79000000,5.8,2012,Journey 2: The Mysterious Island,
