original_title,year,genre 1 kaggle,genre 2 kaggle,genre 3 kaggle,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,Budget - Inflation Adjusted, USA Gross Income - Inflation Adjusted ,USA_Profit, WW Gross Income - Inflation Adjusted ,WorldWide_Profit
John Wick,2014,Action, Crime, Thriller,101,"USA, UK, China",English,"Chad Stahelski, David Leitch",Derek Kolstad,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe, Dean Winters, Adrianne Palicki, Omer Barnea, Toby Leonard Moore, Daniel Bernhardt, Bridget Moynahan, John Leguizamo, Ian McShane, Bridget Regan, Lance Reddick, Keith Jardine",Keanu Reeves,"Keanu Reeves, Michael Nyqvist",An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,An ex-hit-man comes out of retirement,7.4,"$21,864,946.61 ","$47,050,998.22 ","$27,050,998.22 ","$94,108,600.74 ","$72,243,654.13 "
The Hitchhiker's Guide to the Galaxy,2005,Adventure, Comedy, Sci-Fi,109,"UK, USA",English,Garth Jennings,"Douglas Adams, Douglas Adams","Bill Bailey, Anna Chancellor, Warwick Davis, Yasiin Bey, Zooey Deschanel, Su Elliot, Martin Freeman, Stephen Fry, Richard Griffiths, Dominique Jackson, Simon Jones, Thomas Lennon, Mark Longhurst, Kelly Macdonald, John Malkovich",Bill Bailey,"Bill Bailey, Anna Chancellor","Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",Mere seconds before the Earth,6.8,"$66,259,856.63 ","$67,698,246.80 ","$17,698,246.80 ","$138,454,497.30 ","$72,194,640.67 "
Jeepers Creepers,2001,Horror, Mystery,,90,"USA, Germany",English,Victor Salva,Victor Salva,"Gina Philips, Justin Long, Jonathan Breck, Patricia Belcher, Brandon Smith, Eileen Brennan, Peggy Sheffield, Jeffrey William Evans, Patrick Cherry, Jon Beshara, Avis-Marie Barnes, Steve Raulerson, Tom Tarantini, William Haze, Kim Kahana",Gina Philips,"Gina Philips, Justin Long",A brother and sister driving home through isolated countryside for spring break encounter a flesh-eating creature which is in the midst of its ritualistic eating spree.,A brother and sister driving home,6.2,"$14,613,833.99 ","$55,392,532.11 ","$45,392,532.11 ","$86,764,236.59 ","$72,150,402.60 "
Stuart Little 2,2002,Animation, Adventure, Comedy,77,USA,English,Rob Minkoff,"E.B. White, Douglas Wick","Michael J. Fox, Geena Davis, Hugh Laurie, Jonathan Lipnicki, Anna Hoelck, Ashley Hoelck, Nathan Lane, Melanie Griffith, James Woods, Steve Zahn, Marc John Jefferies, Angelo Massagli, Jim Doughan, Brad Garrett, Conan McCarty",Michael J. Fox,"Michael J. Fox, Geena Davis",Stuart and Snowbell set out across town to rescue a friend.,Stuart and Snowbell set out across,5.5,"$172,636,575.88 ","$93,449,338.06 ","($26,550,661.94)","$244,506,341.95 ","$71,869,766.07 "
Vampires Suck,2010,Comedy,,,82,USA,English,"Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer","Jenn Proske, Matt Lanter, Diedrich Bader, Chris Riggi, Ken Jeong, Anneliese van der Pol, David DeLuise, Kelsey Ledgin, Dave Foley, Jeff Witzke, Crista Flanagan, Nick Eversman, Zane Holtz, Stephanie Fischer, Michael Hanson",Jenn Proske,"Jenn Proske, Matt Lanter","A spoof of vampire-themed movies. Teenager, Becca finds herself torn between 2 boys. As she and her friends wrestle with a number of different dramas, everything comes to a head at their prom.",A spoof of vampire-themed movies.,3.4,"$23,738,030.60 ","$43,513,595.19 ","$23,513,595.19 ","$95,602,385.38 ","$71,864,354.78 "
Star Wars: The Clone Wars,2008,Animation, Action, Adventure,98,USA,English,Dave Filoni,"Henry Gilroy, Steven Melching","Matt Lanter, Ashley Eckstein, James Arnold Taylor, Dee Bradley Baker, Tom Kane, Nika Futterman, Ian Abercrombie, Corey Burton, Catherine Taber, Matthew Wood, Kevin Michael Richardson, David Acord, Samuel L. Jackson, Anthony Daniels, Christopher Lee",Matt Lanter,"Matt Lanter, Ashley Eckstein","After the Republic's victory on Christophsis, Anakin and his new apprentice Ahsoka Tano must rescue the kidnapped son of Jabba the Hutt. Political intrigue complicates their mission.",After the Republic's victory on,5.9,"$10,217,663.01 ","$42,266,930.57 ","$33,766,930.57 ","$82,081,304.67 ","$71,863,641.66 "
Changing Lanes,2002,Drama, Thriller,,98,USA,English,Roger Michell,"Chap Taylor, Chap Taylor","Ben Affleck, Samuel L. Jackson, Kim Staunton, Toni Collette, Sydney Pollack, Tina Sloan, Richard Jenkins, Akil Walker, Cole Hawkins, Ileen Getz, Jennifer Dundas, Matt Malloy, Amanda Peet, Myra Lucretia Taylor, Bruce Altman",Ben Affleck,"Ben Affleck, Samuel L. Jackson","The story of what happens one day in New York City, when a young lawyer and a businessman share a small automobile accident on F.D.R. Drive, and their mutual road rage escalates into a feud.",The story of what happens one,6.4,"$64,738,715.95 ","$96,127,711.10 ","$51,127,711.10 ","$136,578,210.21 ","$71,839,494.26 "
Horrible Bosses 2,2014,Comedy, Crime,,108,USA,English,Sean Anders,"Sean Anders, John Morris","Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston, Kevin Spacey, Jamie Foxx, Chris Pine, Christoph Waltz, Jonathan Banks, Lindsay Sloane, Keegan-Michael Key, Kelly Stables, Jerry Lambert, Sam Richardson, Brianne Howey",Jason Bateman,"Jason Bateman, Jason Sudeikis","Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.","Dale, Kurt and Nick decide to",6.3,"$45,916,387.88 ","$59,522,241.19 ","$17,522,241.19 ","$117,682,999.17 ","$71,766,611.29 "
Dora and the Lost City of Gold,2019,Adventure, Comedy, Family,102,"USA, Mexico, Australia",English,James Bobin,"Nicholas Stoller, Matthew Robinson","Benicio Del Toro, Madelyn Miranda, Dee Bradley Baker, Malachi Barton, Sasha Toro, Marc Weiner, Eva Longoria, Michael Peña, Joey Vieira, Pia Miller, Isabela Merced, Jeff Wahlberg, Adriana Barraza, Damien Garvey, Anikka Abelita",Benicio Del Toro,"Benicio Del Toro, Madelyn Miranda","Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.","Dora, a teenage explorer, leads",6.1,"$49,604,505.26 ","$61,224,049.82 ","$12,224,049.82 ","$121,159,140.75 ","$71,554,635.49 "
Money Monster,2016,Crime, Drama, Thriller,98,USA,English,Jodie Foster,"Jamie Linden, Alan DiFiore","George Clooney, Julia Roberts, Jack O'Connell, Dominic West, Caitriona Balfe, Giancarlo Esposito, Christopher Denham, Lenny Venito, Chris Bauer, Dennis Boutsikaris, Emily Meade, Condola Rashad, Aaron Yoo, Carsey Walker Jr., Grant Rosenmeyer",George Clooney,"George Clooney, Julia Roberts",Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes them and their crew as hostage.,Financial TV host Lee Gates and,6.5,"$29,115,388.30 ","$44,225,277.36 ","$17,225,277.36 ","$100,591,082.86 ","$71,475,694.56 "
Nerve,2016,Adventure, Crime, Drama,96,USA,English,"Henry Joost, Ariel Schulman","Jessica Sharzer, Jeanne Ryan","Emma Roberts, Dave Franco, Emily Meade, Miles Heizer, Juliette Lewis, Kimiko Glenn, Marc John Jefferies, Machine Gun Kelly, Brian Marc, Ed Squires, Rightor Doyle, Josh Ostrovsky, Eric D'Alessandro, Arielle Vandenberg, Jonny Beauchamp",Emma Roberts,"Emma Roberts, Dave Franco","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",A high school senior finds herself,6.5,"$20,488,606.58 ","$41,606,564.93 ","$22,606,564.93 ","$91,930,679.34 ","$71,442,072.76 "
Fame,2009,Comedy, Drama, Musical,107,USA,English,Kevin Tancharoen,"Allison Burnett, Christopher Gore","Kay Panabaker, Walter Perez, Naturi Naughton, Asher Monroe, Kherington Payne, Collins Pennie, Kristy Flores, Paul McGill, Bebe Neuwirth, Paul Iacono, Charles S. Dutton, Kelsey Grammer, Anna Maria Perez de Tagle, Megan Mullally, Debbie Allen",Kay Panabaker,"Kay Panabaker, Walter Perez",An emotionally beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,An emotionally beaten man with,5.1,"$21,714,659.94 ","$27,089,653.53 ","$9,089,653.53 ","$93,146,042.35 ","$71,431,382.41 "
Drive,2011,Crime, Drama,,100,USA,English,Nicolas Winding Refn,"Hossein Amini, James Sallis","Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks, Oscar Isaac, Christina Hendricks, Ron Perlman, Kaden Leos, Jeff Wolfe, James Biberi, Russ Tamblyn, Joe Bucaro III, Tiara Parker, Tim Trella, Jimmy Hart",Ryan Gosling,"Ryan Gosling, Carey Mulligan",A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor in this action drama.,A mysterious Hollywood stuntman,7.8,"$17,258,745.70 ","$40,341,230.78 ","$25,341,230.78 ","$88,568,046.91 ","$71,309,301.21 "
Legend of the Guardians: The Owls of Ga'Hoole,2010,Animation, Action, Adventure,97,"USA, Australia",English,Zack Snyder,"John Orloff, Emil Stern","Emily Barclay, Abbie Cornish, Essie Davis, Adrienne DeFaria, Joel Edgerton, Deborra-Lee Furness, Sacha Horler, Bill Hunter, Ryan Kwanten, Anthony LaPaglia, Miriam Margolyes, Helen Mirren, Sam Neill, Barry Otto, Richard Roxburgh",Emily Barclay,"Emily Barclay, Abbie Cornish","When a young owl is abducted by an evil Owl army, he must escape with new-found friends and seek the legendary Guardians to stop the menace.",When a young owl is abducted by,6.9,"$94,952,122.39 ","$66,081,114.18 ","($13,918,885.82)","$166,253,320.89 ","$71,301,198.50 "
RED 2,2013,Action, Adventure, Comedy,116,"USA, France, Canada",English,Dean Parisot,"Jon Hoeber, Erich Hoeber","Bruce Willis, John Malkovich, Mary-Louise Parker, Helen Mirren, Anthony Hopkins, Byung-hun Lee, Jong Kun Lee, Catherine Zeta-Jones, Neal McDonough, David Thewlis, Garrick Hagon, Tim Pigott-Smith, Brian Cox, Philip Arditti, Mitchell Mullen",Bruce Willis,"Bruce Willis, John Malkovich",Retired CIA agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,Retired CIA agent Frank Moses,6.6,"$93,322,475.82 ","$59,173,737.71 ","($24,826,262.29)","$164,509,265.89 ","$71,186,790.07 "
Monster,2003,Biography, Crime, Drama,109,"USA, Germany",English,Patty Jenkins,Patty Jenkins,"Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen, Annie Corley, Pruitt Taylor Vince, Marco St. John, Marc Macaulay, Scott Wilson, Rus Blackwell, Tim Ware, Stephan Jones, Brett Rice, Kaitlin Riley, Cree Ivey",Charlize Theron,"Charlize Theron, Christina Ricci","Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer","Based on the life of Aileen Wuornos,",7.3,"$11,252,652.17 ","$48,483,753.85 ","$40,483,753.85 ","$82,241,710.38 ","$70,989,058.21 "
Dolittle,2020,Adventure, Comedy, Family,101,"USA, China, UK, Japan",English,Stephen Gaghan,"Stephen Gaghan, Dan Gregor","Robert Downey Jr., Antonio Banderas, Michael Sheen, Jim Broadbent, Jessie Buckley, Harry Collett, Emma Thompson, Rami Malek, John Cena, Kumail Nanjiani, Octavia Spencer, Tom Holland, Craig Robinson, Ralph Fiennes, Selena Gomez",Robert Downey Jr.,"Robert Downey Jr., Antonio Banderas",A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,A physician who can talk to animals,5.6,"$175,000,000.00 ","$77,047,065.00 ","($97,952,935.00)","$245,891,166.00 ","$70,891,166.00 "
Crossroads,2002,Comedy, Drama, Romance,93,USA,English,Tamra Davis,Shonda Rhimes,"Britney Spears, Anson Mount, Zoe Saldana, Taryn Manning, Dan Aykroyd, Kim Cattrall, Justin Long, Beverly Johnson, Bahni Turpin, Kool Moe Dee, Richard Voll, Katherine Boecher, Dave Allen, Kyle Davis, Branden Williams",Britney Spears,"Britney Spears, Anson Mount","Three childhood best friends, and a guy they just met, take a road trip across the country, finding themselves and their friendship in the process.","Three childhood best friends,",3.5,"$17,263,657.59 ","$53,504,828.12 ","$41,504,828.12 ","$87,959,817.21 ","$70,696,159.62 "
The Hills Have Eyes,2006,Horror, Thriller,,107,"USA, France, Romania",English,Alexandre Aja,"Wes Craven, Alexandre Aja","Maxime Giffard, Michael Bailey Smith, Tom Bower, Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin, Aaron Stanford, Vinessa Shaw, Maisie Camilleri Preziosi, Robert Joy, Laura Ortiz, Ezra Buzzington, Billy Drago, Greg Nicotero",Maxime Giffard,"Maxime Giffard, Michael Bailey Smith",A family falls victim to a group of mutated cannibals in a desert far away from civilization.,A family falls victim to a group,6.4,"$19,256,770.83 ","$53,635,066.03 ","$38,635,066.03 ","$89,876,423.00 ","$70,619,652.17 "
Piranha 3D,2010,Comedy, Horror,,88,"USA, Japan",English,Alexandre Aja,"Pete Goldfinger, Josh Stolberg","Richard Dreyfuss, Ving Rhames, Elisabeth Shue, Christopher Lloyd, Eli Roth, Jerry O'Connell, Steven R. McQueen, Jessica Szohr, Kelly Brook, Riley Steele, Adam Scott, Ricardo Chavira, Dina Meyer, Paul Scheer, Brooklynn Proulx",Richard Dreyfuss,"Richard Dreyfuss, Ving Rhames","After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.",After a sudden underwater tremor,5.4,"$28,485,636.72 ","$29,676,282.92 ","$5,676,282.92 ","$98,736,160.31 ","$70,250,523.59 "
Changeling,2008,Biography, Crime, Drama,141,USA,English,Clint Eastwood,J. Michael Straczynski,"Angelina Jolie, Gattlin Griffith, Michelle Gunn, Jan Devereaux, Erica Grant, Antonia Bennett, Kerri Randles, Frank Wood, Morgan Eastwood, Madison Hodges, John Malkovich, Colm Feore, Devon Conti, Ric Sarabia, J.P. Bumstead",Angelina Jolie,"Angelina Jolie, Gattlin Griffith",Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,Grief-stricken mother Christine,7.7,"$66,114,290.09 ","$42,962,029.77 ","($12,037,970.23)","$136,313,526.13 ","$70,199,236.04 "
A Cinderella Story,2004,Comedy, Family, Romance,95,"USA, Canada",English,Mark Rosman,Leigh Dunlap,"Hilary Duff, Jennifer Coolidge, Chad Michael Murray, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery Ray, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg",Hilary Duff,"Hilary Duff, Jennifer Coolidge","Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",Routinely exploited by her wicked,5.9,"$26,031,810.48 ","$70,475,201.22 ","$51,475,201.22 ","$95,999,712.00 ","$69,967,901.52 "
Anacondas: The Hunt for the Blood Orchid,2004,Action, Adventure, Horror,97,"USA, Australia",English,Dwight H. Little,"Hans Bauer, Jim Cash","Johnny Messner, KaDee Strickland, Matthew Marsden, Nicholas Gonzalez, Eugene Byrd, Karl Yune, Salli Richardson-Whitfield, Morris Chestnut, Andy Anderson, Nicholas Hope, Peter Curtin, Denis Arndt, Khoa Do, Aireti, Andre Tandjung",Johnny Messner,"Johnny Messner, KaDee Strickland","A scientific expedition sets out for Borneo to seek a flower called the Blood Orchid, which could grant longer life. Meanwhile, they run afoul of snakes and each other.",A scientific expedition sets out,4.7,"$27,401,905.77 ","$44,170,396.51 ","$24,170,396.51 ","$97,267,035.07 ","$69,865,129.30 "
Ghost Ship,2002,Horror,,,91,"USA, Australia",English,Steve Beck,"Mark Hanlon, Mark Hanlon","Gabriel Byrne, Julianna Margulies, Ron Eldard, Desmond Harrington, Isaiah Washington, Alex Dimitriades, Karl Urban, Emily Browning, Francesca Rettondini, Boris Brkic, Bob Ruggiero, Iain Gardiner, Adam Bieshaar, Cameron Watt, Jamie Giddens",Gabriel Byrne,"Gabriel Byrne, Julianna Margulies","A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board.",A salvage crew discovers a long-lost,5.5,"$28,772,762.65 ","$43,322,416.45 ","$23,322,416.45 ","$98,330,749.46 ","$69,557,986.81 "
Moneyball,2011,Biography, Drama, Sport,133,USA,English,Bennett Miller,"Steven Zaillian, Aaron Sorkin","Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright, Chris Pratt, Stephen Bishop, Reed Diamond, Brent Jennings, Ken Medlock, Tammy Blanchard, Jack McGee, Vyto Ruginis, Nick Searcy, Glenn Morshower, Casey Bond",Brad Pitt,"Brad Pitt, Jonah Hill",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Oakland A's general manager Billy,7.6,"$57,529,152.35 ","$86,990,397.35 ","$36,990,397.35 ","$126,801,403.80 ","$69,272,251.45 "
The Boy,2016,Horror, Mystery, Thriller,97,"USA, Canada, China",English,William Brent Bell,Stacey Menear,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton, Diana Hardcastle, Ben Robson, Jett Klyne, Lily Pater, Matthew Walker, Stephanie Lemelin",Lauren Cohan,"Lauren Cohan, Rupert Evans","An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",An American nanny is shocked that,6,"$10,783,477.15 ","$38,625,936.36 ","$28,625,936.36 ","$79,944,580.29 ","$69,161,103.14 "
Nanny McPhee and the Big Bang,2010,Comedy, Family, Fantasy,109,"UK, France, USA",English,Susanna White,"Emma Thompson, Christianna Brand","Maggie Gyllenhaal, Oscar Steer, Asa Butterfield, Lil Woods, Eros Vlahos, Rosie Taylor-Ritson, Daniel Mays, Rhys Ifans, Maggie Smith, Sinead Matthews, Katy Brand, Emma Thompson, Bill Bailey, Ewan McGregor, Sam Kelly",Maggie Gyllenhaal,"Maggie Gyllenhaal, Oscar Steer","Nanny McPhee arrives to help a harried young mother who is trying to run the family farm while her husband is away at war, though she uses her magic to teach the woman's children and their two spoiled cousins five new lessons.",Nanny McPhee arrives to help a,6.1,"$41,541,553.55 ","$34,433,455.47 ","($566,544.53)","$110,679,898.18 ","$69,138,344.63 "
Saw VI,2009,Horror, Mystery,,90,"Canada, USA, Australia",English,Kevin Greutert,"Patrick Melton, Marcus Dunstan","Tobin Bell, Costas Mandylor, Mark Rolston, Betsy Russell, Shawnee Smith, Peter Outerbridge, Athena Karkanis, Samantha Lemole, Tanedra Howard, Marty Moreau, Shawn Ahmed, Janelle Hutchison, Gerry Mendicino, Caroline Cave, George Newbern",Tobin Bell,"Tobin Bell, Costas Mandylor","Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw.","Agent Strahm is dead, and FBI",6,"$13,270,069.96 ","$33,408,356.58 ","$22,408,356.58 ","$82,315,636.14 ","$69,045,566.18 "
Underworld: Rise of the Lycans,2009,Action, Fantasy, Thriller,92,"USA, New Zealand",English,Patrick Tatopoulos,"Danny McBride, Dirk Blackman","Michael Sheen, Bill Nighy, Rhona Mitra, Steven Mackintosh, Kevin Grevioux, David Aston, Geraldine Brophy, Leighton Cardno, Alex Carroll, Elizabeth Hawthorne, Jason Hood, Mark Mitchinson, Tania Nolan, Craig Parker, Timothy Raby",Michael Sheen,"Michael Sheen, Bill Nighy","An origins story centered on the centuries-old feud between the race of aristocratic vampires and their onetime slaves, the Lycans.",An origins story centered on the,6.6,"$42,222,949.89 ","$55,254,538.60 ","$20,254,538.60 ","$111,177,805.49 ","$68,954,855.60 "
"O Brother, Where Art Thou?",2000,Adventure, Comedy, Crime,107,"UK, France, USA",English,"Joel Coen, Ethan Coen","Homer, Ethan Coen","George Clooney, John Turturro, Tim Blake Nelson, John Goodman, Holly Hunter, Chris Thomas King, Charles Durning, Del Pentecost, Michael Badalucco, J.R. Horne, Brian Reddy, Wayne Duvall, Ed Gale, Ray McKinnon, Daniel von Bargen",George Clooney,"George Clooney, John Turturro","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.","In the deep south during the 1930s,",7.7,"$39,077,154.47 ","$68,403,939.68 ","$42,403,939.68 ","$108,015,758.30 ","$68,938,603.83 "
The Rite,2011,Drama, Horror, Mystery,114,"USA, Hungary, Italy",English,Mikael Håfström,"Michael Petroni, Matt Baglio","Anthony Hopkins, Colin O'Donoghue, Alice Braga, Ciarán Hinds, Toby Jones, Rutger Hauer, Marta Gastini, Maria Grazia Cucinotta, Arianna Veronesi, Andrea Calligari, Chris Marquette, Torrey DeVitto, Ben Cheetham, Marija Karan, Rosa Pianeta",Anthony Hopkins,"Anthony Hopkins, Colin O'Donoghue",American seminary student Michael Kovak (Colin O'Donaghue) travels to Italy to take an exorcism course.,American seminary student Michael,6,"$42,571,572.74 ","$38,024,046.27 ","$1,024,046.27 ","$111,100,979.01 ","$68,529,406.27 "
God's Not Dead,2014,Drama,,,113,USA,English,Harold Cronk,"Hunter Dennis, Chuck Konzelman","Kevin Sorbo, Shane Harper, David A.R. White, Dean Cain, Willie Robertson, Korie Robertson, Hadeel Sittu, Paul Kwo, Trisha LaFache, Cory Oliver, Benjamin A. Onyango, Marco Khan, Cassidy Gifford, Jesse Wang, Lenore Banks",Kevin Sorbo,"Kevin Sorbo, Shane Harper","College philosophy professor Mr. Radisson's curriculum is challenged by his new student, Josh, who believes God exists.",College philosophy professor Mr.,4.7,"$2,186,494.66 ","$66,421,041.81 ","$64,421,041.81 ","$70,707,245.88 ","$68,520,751.22 "
The Kid,2000,Comedy, Family, Fantasy,104,USA,English,Jon Turteltaub,Audrey Wells,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin, Jean Smart, Chi McBride, Daniel von Bargen, Dana Ivey, Susan Dalian, Stanley Anderson, Juanita Moore, Esther Scott, Deborah May, Vernee Watson, Jan Hoag",Bruce Willis,"Bruce Willis, Spencer Breslin",An unhappy and disliked image consultant gets a second shot at life when he is mysteriously confronted by an eight-year-old version of himself.,An unhappy and disliked image,6.1,"$97,692,886.18 ","$104,744,732.94 ","$39,744,732.94 ","$165,803,735.18 ","$68,110,849.00 "
Pain & Gain,2013,Action, Comedy, Crime,129,USA,English,Michael Bay,"Christopher Markus, Stephen McFeely","Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub, Ed Harris, Rob Corddry, Bar Paly, Rebel Wilson, Ken Jeong, Michael Rispoli, Keili Lefkovitz, Emily Rutherfurd, Larry Hankin, Tony Plana, Peter Stormare",Mark Wahlberg,"Mark Wahlberg, Dwayne Johnson",A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.,A trio of bodybuilders in Florida,6.4,"$28,885,528.23 ","$55,410,543.31 ","$29,410,543.31 ","$96,994,880.78 ","$68,109,352.55 "
Sky High,2005,Adventure, Comedy, Family,100,USA,English,Mike Mitchell,"Paul Hernandez, Bob Schooley","Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker, Christopher Wynne, Kevin Heffernan, Dee Jay Daniels, Kelly Vitz, Loren Berman, Nicholas Braun, Malika Haqq, Khadijah Haqq, Jake Sandvig, Will Harris, Mary Elizabeth Winstead",Michael Angarano,"Michael Angarano, Kurt Russell","Set in an era where superheroes are commonly known and accepted, young William Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",Set in an era where superheroes,6.2,"$46,381,899.64 ","$84,742,135.88 ","$49,742,135.88 ","$114,457,031.18 ","$68,075,131.54 "
Dolphin Tale,2011,Drama, Family,,113,"Canada, USA",English,Charles Martin Smith,"Karen Janszen, Noam Dromi","Harry Connick Jr., Ashley Judd, Nathan Gamble, Kris Kristofferson, Cozi Zuehlsdorff, Morgan Freeman, Austin Stowell, Frances Sternhagen, Austin Highsmith, Betsy Landin, Juliana Harkavy, Megan Lozicki, Jim Fitzpatrick, Kim Ostrenko, Michael Roark",Harry Connick Jr.,"Harry Connick Jr., Ashley Judd",A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.,A story centered on the friendship,6.9,"$42,571,572.74 ","$83,171,942.44 ","$46,171,942.44 ","$110,390,910.49 ","$67,819,337.75 "
Southpaw,2015,Action, Drama, Sport,124,"Hong Kong, USA",English,Antoine Fuqua,Kurt Sutter,"Jake Gyllenhaal, Rachel McAdams, Forest Whitaker, Oona Laurence, 50 Cent, Skylan Brooks, Naomie Harris, Victor Ortiz, Beau Knapp, Miguel Gomez, Dominic Colón, Jose Caraballo, Malcolm M. Mays, Aaron Quattrocchi, Lana Young",Jake Gyllenhaal,"Jake Gyllenhaal, Rachel McAdams","A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction.",A champion boxer fights to get,7.4,"$32,758,536.31 ","$57,242,215.02 ","$27,242,215.02 ","$100,427,655.85 ","$67,669,119.54 "
Unfriended,2014,Horror, Mystery, Thriller,83,"USA, Russia",English,Levan Gabriadze,Nelson Greaves,"Heather Sossaman, Matthew Bohrer, Courtney Halverson, Shelley Hennig, Moses Storm, Will Peltz, Renee Olstead, Jacob Wysocki, Mickey River, Cal Barnes, Christa Hartsock",Heather Sossaman,"Heather Sossaman, Matthew Bohrer","A group of online chat room friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend.",A group of online chat room friends,5.5,"$1,093,247.33 ","$35,510,958.18 ","$34,510,958.18 ","$68,745,677.02 ","$67,652,429.69 "
Skyline,2010,Action, Sci-Fi, Thriller,92,USA,English,"Colin Strause, Greg Strause","Joshua Cordes, Liam O'Donnell","Eric Balfour, Scottie Thompson, Brittany Daniel, Crystal Reed, Neil Hopkins, David Zayas, Donald Faison, Robin Gammell, Tanya Newbould, J. Paul Boehmer, Phet Mahathongdy, Byron McIntyre, Jackie Marin, Tony Black, Eliza Till",Eric Balfour,"Eric Balfour, Scottie Thompson","Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth.",Strange lights descend on the,4.4,"$11,869,015.30 ","$25,392,120.31 ","$15,392,120.31 ","$79,504,464.86 ","$67,635,449.56 "
Hereafter,2010,Drama, Fantasy, Romance,129,USA,English,Clint Eastwood,Peter Morgan,"Cécile de France, Thierry Neuvic, Cyndi Mayo, Lisa Griffiths, Jessica Griffiths, Ferguson Reid, Derek Sakakura, Jay Mohr, Richard Kind, Matt Damon, Charlie Creed-Miles, Frankie McLaren, George McLaren, Lyndsey Marshal, Rebekah Staton",Cécile de France,"Cécile de France, Thierry Neuvic","A drama centered on three people - a blue-collar American, a French journalist and a London school boy - who are touched by death in different ways.",A drama centered on three people,6.4,"$59,345,076.49 ","$38,867,394.37 ","($11,132,605.63)","$126,946,631.71 ","$67,601,555.22 "
