original_title,year,genre 1 kaggle,genre 2 kaggle,genre 3 kaggle,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,Budget - Inflation Adjusted, USA Gross Income - Inflation Adjusted ,USA_Profit, WW Gross Income - Inflation Adjusted ,WorldWide_Profit
Rogue One,2016,Action, Adventure, Sci-Fi,133,USA,English,Gareth Edwards,"Chris Weitz, Tony Gilroy","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen, Wen Jiang, Ben Mendelsohn, Guy Henry, Forest Whitaker, Riz Ahmed, Mads Mikkelsen, Jimmy Smits, Alistair Petrie, Genevieve O'Reilly, Ben Daniels, Paul Kasey",Felicity Jones,"Felicity Jones, Diego Luna",The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,The daughter of an Imperial scientist,7.8,"$215,669,542.97 ","$573,872,201.23 ","$373,872,201.23 ","$1,138,797,429.12 ","$923,127,886.15 "
Jumanji: Welcome to the Jungle,2017,Action, Adventure, Comedy,119,"USA, India, Canada, UK, Australia, Germany",English,Jake Kasdan,"Chris McKenna, Erik Sommers","Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan, Rhys Darby, Bobby Cannavale, Nick Jonas, Alex Wolff, Ser'Darius Blain, Madison Iseman, Morgan Turner, Sean Buxton, Mason Guccione, Marin Hinkle, Tracey Bonner",Dwayne Johnson,"Dwayne Johnson, Kevin Hart","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",Four teenagers are sucked into,6.9,"$95,026,884.79 ","$427,135,469.14 ","$337,135,469.14 ","$1,015,839,760.36 ","$920,812,875.57 "
Pirates of the Caribbean: On Stranger Tides,2011,Action, Adventure, Fantasy,137,"USA, UK",English,Rob Marshall,"Ted Elliott, Terry Rossio","Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane, Kevin McNally, Sam Claflin, Astrid Bergès-Frisbey, Stephen Graham, Keith Richards, Richard Griffiths, Greg Ellis, Damian O'Hare, Óscar Jaenada, Anton Lesser, Roger Allam",Johnny Depp,"Johnny Depp, Penélope Cruz","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",Jack Sparrow and Barbossa embark,6.6,"$287,645,761.74 ","$277,373,128.48 ","$27,373,128.48 ","$1,203,180,572.55 ","$915,534,810.81 "
Harry Potter and the Prisoner of Azkaban,2004,Adventure, Family, Fantasy,142,"UK, USA",English,Alfonso Cuarón,"J.K. Rowling, Steve Kloves","Daniel Radcliffe, Richard Griffiths, Pam Ferris, Fiona Shaw, Harry Melling, Adrian Rawlins, Geraldine Somerville, Lee Ingleby, Lenny Henry, Jimmy Gardner, Gary Oldman, Jim Tavaré, Robert Hardy, Abby Ford, Rupert Grint",Daniel Radcliffe,"Daniel Radcliffe, Richard Griffiths","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","Harry Potter, Ron and Hermione",7.9,"$178,112,387.51 ","$342,490,934.36 ","$212,490,934.36 ","$1,090,812,761.77 ","$912,700,374.26 "
Finding Dory,2016,Animation, Adventure, Comedy,97,USA,English,"Andrew Stanton, Angus MacLane","Andrew Stanton, Andrew Stanton","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson, Hayden Rolence, Ty Burrell, Diane Keaton, Eugene Levy, Sloane Murray, Idris Elba, Dominic West, Bob Peterson, Kate McKinnon, Bill Hader, Sigourney Weaver",Ellen DeGeneres,"Ellen DeGeneres, Albert Brooks","Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",Friendly but forgetful blue tang,7.3,"$215,669,542.97 ","$524,395,706.95 ","$324,395,706.95 ","$1,109,157,067.72 ","$893,487,524.75 "
Toy Story 4,2019,Animation, Adventure, Comedy,100,USA,English,Josh Cooley,"John Lasseter, Andrew Stanton","Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key, Madeleine McGraw, Christina Hendricks, Jordan Peele, Keanu Reeves, Ally Maki, Jay Hernandez, Lori Alan, Joan Cusack, Bonnie Hunt, Kristen Schaal",Tom Hanks,"Tom Hanks, Tim Allen","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.","When a new toy called ""Forky""",7.8,"$202,467,368.39 ","$439,392,666.30 ","$239,392,666.30 ","$1,086,636,892.43 ","$884,169,524.04 "
Ice Age: Continental Drift,2012,Animation, Adventure, Comedy,88,USA,English,"Steve Martino, Mike Thurmeier","Michael Berg, Jason Fuchs","Aziz Ansari, Joy Behar, Christopher Campbell, Alain Chabat, Ester Dean, Peter Dinklage, Karen Disher, Drake, Jason Fricchione, Nick Frost, Josh Gad, Ben Gleib, George Jacobs, Queen Latifah, Denis Leary",Aziz Ansari,"Aziz Ansari, Joy Behar","Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.","Manny, Diego, and Sid embark upon",6.6,"$107,089,231.43 ","$181,850,865.04 ","$86,850,865.04 ","$988,878,626.07 ","$881,789,394.64 "
Bohemian Rhapsody,2018,Biography, Drama, Music,134,"UK, USA",English,Bryan Singer,"Anthony McCarten, Peter Morgan","Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello, Aidan Gillen, Allen Leech, Tom Hollander, Mike Myers, Aaron McCusker, Meneka Das, Ace Bhatti, Priya Blackburn, Dermot Murphy, Dickie Beau",Rami Malek,"Rami Malek, Lucy Boynton",The story of the legendary British rock band,The story of the legendary British,8,"$53,595,367.71 ","$223,315,449.66 ","$171,315,449.66 ","$934,708,046.78 ","$881,112,679.07 "
Aladdin,2019,Adventure, Family, Fantasy,128,"UK, USA, Australia",English,Guy Ritchie,"John August, Guy Ritchie","Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari, Navid Negahban, Nasim Pedrad, Billy Magnussen, Jordan A. Nash, Taliyah Blair, Aubrey Lin, Amir Boutrous, Numan Acar, Omari Bernard, Nathaniel Ellul, Sebastien Torkia",Will Smith,"Will Smith, Mena Massoud",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,A kind-hearted street urchin and,7,"$185,257,642.08 ","$359,945,693.85 ","$176,945,693.85 ","$1,063,656,198.23 ","$878,398,556.15 "
The Secret Life of Pets,2016,Animation, Adventure, Comedy,87,"USA, France, Japan",English,"Chris Renaud, Yarrow Cheney","Cinco Paul, Ken Daurio","Louis C.K., Eric Stonestreet, Kevin Hart, Jenny Slate, Ellie Kemper, Albert Brooks, Lake Bell, Dana Carvey, Hannibal Buress, Bobby Moynihan, Chris Renaud, Steve Coogan, Michael Beattie, Sandra Echeverría, Jaime Camil",Louis C.K.,"Louis C.K., Eric Stonestreet","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",The quiet life of a terrier named,6.5,"$80,876,078.61 ","$397,246,400.45 ","$322,246,400.45 ","$944,048,065.82 ","$863,171,987.21 "
