original_title,year,genre,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,budget,usa_gross_income,USA Profit
The Shipping News,2001,Drama,111,"Canada, USA",English,Lasse Hallström,"Annie Proulx, Robert Nelson Jacobs","Kevin Spacey, Julianne Moore, Judi Dench, Cate Blanchett, Pete Postlethwaite, Scott Glenn, Rhys Ifans, Gordon Pinsent, Jason Behr, Larry Pine, Jeannetta Arnette, Robert Joy, Alyssa Gainer, Kaitlyn Gainer, Lauren Gainer",Kevin Spacey,"Kevin Spacey, Julianne Moore",An emotionally beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,An emotionally beaten man with,6.7,31614,38000000,11434216,-26565784
X-Men,2000,"Action, Adventure, Sci-Fi",104,USA,English,Bryan Singer,"Tom DeSanto, Bryan Singer","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen, James Marsden, Halle Berry, Anna Paquin, Tyler Mane, Ray Park, Rebecca Romijn, Bruce Davison, Matthew Sharp, Brett Morris, Rhona Shekter, Kenneth McGregor",Hugh Jackman,"Hugh Jackman, Patrick Stewart","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",In a world where mutants (evolved,7.4,562022,75000000,157299718,82299718
Men in Black II,2002,"Action, Adventure, Comedy",88,USA,English,Barry Sonnenfeld,"Lowell Cunningham, Robert Gordon","Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle, Johnny Knoxville, Rosario Dawson, Tony Shalhoub, Patrick Warburton, Jack Kehler, David Cross, Colombe Jacobsen-Derstine, Peter Spellos, Michael Rivkin, Michael Bailey Smith, Lenny Venito",Tommy Lee Jones,"Tommy Lee Jones, Will Smith",Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.,Agent J is sent to find Agent,6.2,337088,140000000,193735288,53735288
Titan A.E.,2000,"Animation, Action, Adventure",94,USA,English,"Don Bluth, Gary Goldman","Hans Bauer, Randall McCormick","Drew Barrymore, Jim Breuer, Ken Hudson Campbell, Thomas A. Chantler, Tsai Chin, Elaine A. Clark, Roy Conrad, Jim Cummings, Matt Damon, Janeane Garofalo, Leslie Hedger, Roger Jackson, David L. Lander, Nathan Lane, John Leguizamo",Drew Barrymore,"Drew Barrymore, Jim Breuer",A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,A young man learns that he has,6.6,58060,75000000,22753426,-52246574
The Emperor's New Groove,2000,"Animation, Adventure, Comedy",78,USA,English,Mark Dindal,"Chris Williams, Mark Dindal","David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Kellyann Kelso, Eli Russell Linnetz, Stephen J. Anderson, Bob Bergen, Rodger Bumpass, Robert Clotworthy, Jennifer Darling, Patti Deutsch, John Fiedler, Miriam Flynn",David Spade,"David Spade, John Goodman","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",Emperor Kuzco is turned into a,7.3,175207,100000000,89302687,-10697313
Corpse Bride,2005,"Animation, Drama, Family",77,"USA, UK",English,"Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel","Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse, Joanna Lumley, Albert Finney, Richard E. Grant, Christopher Lee, Michael Gough, Jane Horrocks, Enn Reitel, Deep Roy, Danny Elfman, Stephen Ballantyne",Johnny Depp,"Johnny Depp, Helena Bonham Carter","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",When a shy groom practices his,7.3,237421,40000000,53359111,13359111
Star Wars: Episode II - Attack of the Clones,2002,"Action, Adventure, Fantasy",142,USA,English,George Lucas,"George Lucas, Jonathan Hales","Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee, Samuel L. Jackson, Frank Oz, Ian McDiarmid, Pernilla August, Temuera Morrison, Jimmy Smits, Jack Thompson, Leeanna Walsman, Ahmed Best, Rose Byrne, Oliver Ford Davies",Ewan McGregor,"Ewan McGregor, Natalie Portman","Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.","Ten years after initially meeting,",6.5,625761,115000000,310676740,195676740
Star Wars: Episode III - Revenge of the Sith,2005,"Action, Adventure, Fantasy",140,USA,English,George Lucas,George Lucas,"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid, Samuel L. Jackson, Jimmy Smits, Frank Oz, Anthony Daniels, Christopher Lee, Keisha Castle-Hughes, Silas Carson, Jay Laga'aia, Bruce Spence, Wayne Pygram, Temuera Morrison",Ewan McGregor,"Ewan McGregor, Natalie Portman","Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.","Three years into the Clone Wars,",7.5,694239,113000000,380270577,267270577
Return to Me,2000,"Comedy, Drama, Romance",115,USA,English,Bonnie Hunt,"Bonnie Hunt, Don Lake","David Duchovny, Minnie Driver, Carroll O'Connor, Robert Loggia, Bonnie Hunt, David Alan Grier, Joely Richardson, Eddie Jones, Jim Belushi, Marianne Muellerleile, William Bronder, Brian Howe, Chris Barnes, Adam Tanguay, Karson Pound",David Duchovny,"David Duchovny, Minnie Driver",A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.,A man who falls in love with the,6.9,19351,24000000,32722798,8722798
Heartbreakers,2001,"Comedy, Crime, Romance",123,USA,English,David Mirkin,"Robert Dunn, Paul Guay","Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Jason Lee, Anne Bancroft, Jeffrey Jones, Gene Hackman, Nora Dunn, Julio Oscar Mechoso, Ricky Jay, Sarah Silverman, Zach Galifianakis, Michael Hitchcock, Pierre Gonneau, Shawn Colvin",Sigourney Weaver,"Sigourney Weaver, Jennifer Love Hewitt",A mother and daughter con team seduce and scam wealthy men.,A mother and daughter con team,6.2,50857,35000000,40336607,5336607
Shrek,2001,"Animation, Adventure, Comedy",90,USA,English,"Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller, Cody Cameron, Kathleen Freeman, Michael Galasso, Christopher Knights, Simon J. Smith",Mike Myers,"Mike Myers, Eddie Murphy","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",A mean lord exiles fairytale creatures,7.8,600116,60000000,267665011,207665011
Dinosaur,2000,"Animation, Adventure, Family",82,USA,English,"Eric Leighton, Ralph Zondag","Thom Enriquez, John Harrison","Alfre Woodard, Ossie Davis, Max Casella, Hayden Panettiere, D.B. Sweeney, Samuel E. Wright, Peter Siragusa, Julianna Margulies, Joan Plowright, Della Reese, Matt Adler, Sandina Bailo-Lape, Edie Lehmann Boddicker, Zachary Bostrom, Cathy Cavadini",Alfre Woodard,"Alfre Woodard, Ossie Davis",An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,An orphaned dinosaur raised by,6.5,51947,127500000,137748063,10248063
The Adventures of Rocky & Bullwinkle,2000,"Animation, Adventure, Comedy",92,"USA, Germany, South Korea, India, Canada",English,Des McAnuff,"Jay Ward, Kenneth Lonergan","Rene Russo, Jason Alexander, Piper Perabo, Randy Quaid, Robert De Niro, June Foray, Keith Scott, Janeane Garofalo, Carl Reiner, Jonathan Winters, John Goodman, Kenan Thompson, Kel Mitchell, James Rebhorn, David Alan Grier",Rene Russo,"Rene Russo, Jason Alexander","When enemies Boris, Natasha, and Fearless Leader escape into the real world with a nefarious scheme, Rocky and Bullwinkle do the same, and team up with a young F.B.I. Agent to stop the trio.","When enemies Boris, Natasha, and",4.2,19101,76000000,26005820,-49994180
Driven,2001,"Action, Drama, Sport",116,"USA, Canada, Australia",English,Renny Harlin,"Jan Skrentny, Neal Tabachnick","Sylvester Stallone, Burt Reynolds, Kip Pardue, Stacy Edwards, Til Schweiger, Gina Gershon, Estella Warren, Cristián de la Fuente, Brent Briscoe, Robert Sean Leonard, Verona Pooth, Jasmin Wagner, Chip Ganassi, John Della Penna, Dan Duran",Sylvester Stallone,"Sylvester Stallone, Burt Reynolds",A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.,A young hot shot driver is in,4.6,38891,94000000,32720065,-61279935
Planet of the Apes,2001,"Action, Adventure, Sci-Fi",119,USA,English,Tim Burton,"Pierre Boulle, William Broyles Jr.","Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan, Paul Giamatti, Estella Warren, Cary-Hiroyuki Tagawa, David Warner, Kris Kristofferson, Erick Avari, Lucas Elliot Eberl, Evan Parke, Glenn Shadix, Freda Foh Shen, Chris Ellis",Mark Wahlberg,"Mark Wahlberg, Tim Roth","In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.","In 2029, an Air Force astronaut",5.7,207951,100000000,180011740,80011740
Treasure Planet,2002,"Animation, Adventure, Family",95,USA,English,"Ron Clements, John Musker","Robert Louis Stevenson, Ron Clements","Roscoe Lee Browne, Corey Burton, Dane A. Davis, Joseph Gordon-Levitt, Tony Jay, Austin Majors, Patrick McGoohan, Michael McShane, Laurie Metcalf, Brian Murray, David Hyde Pierce, Martin Short, Emma Thompson, Michael Wincott, Jack Angel",Roscoe Lee Browne,"Roscoe Lee Browne, Corey Burton","A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders.","A Disney animated version of ""Treasure",7.2,99484,140000000,38176783,-101823217
Scream 3,2000,"Horror, Mystery",116,USA,English,Wes Craven,"Kevin Williamson, Ehren Kruger","Liev Schreiber, Beth Toussaint, Roger Jackson, Kelly Rutherford, Neve Campbell, Courteney Cox, Julie Janney, Richmond Arquette, Patrick Dempsey, Lynn McRee, Nancy O'Dell, Ken Taylor, Scott Foley, Roger Corman, Lance Henriksen",Liev Schreiber,"Liev Schreiber, Beth Toussaint","While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",While Sidney and her friends visit,5.6,121153,40000000,89143175,49143175
Pitch Black,2000,"Action, Horror, Sci-Fi",109,"USA, Australia",English,David Twohy,"Jim Wheat, Ken Wheat","Vin Diesel, Radha Mitchell, Cole Hauser, Keith David, Lewis Fitz-Gerald, Claudia Black, Rhiana Griffith, John Moore, Simon Burke, Les Chantery, Sam Sari, Firass Dirani, Ric Anderson, Vic Wilson, Angela Moore",Vin Diesel,"Vin Diesel, Radha Mitchell","A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",A commercial transport ship and,7.1,222655,23000000,39240659,16240659
Supernova,2000,"Horror, Sci-Fi, Thriller",90,"USA, Switzerland",English,Walter Hill,"William Malone, Daniel Chuba","James Spader, Angela Bassett, Robert Forster, Lou Diamond Phillips, Peter Facinelli, Robin Tunney, Wilson Cruz, Eddy Rice Jr., Knox White, Kerrigan Mahan, Vanessa Marshall",James Spader,"James Spader, Angela Bassett",A deep space rescue and recovery spaceship with a crew of 6 receives a distress call from a mining operation 3432 light years away. A rescue operation via dimension jump is made. Bad idea.,A deep space rescue and recovery,4.9,16884,90000000,14230455,-75769545
Intolerable Cruelty,2003,"Comedy, Crime, Romance",100,USA,English,"Joel Coen, Ethan Coen","Robert Ramsey, Matthew Stone","George Clooney, Catherine Zeta-Jones, Geoffrey Rush, Cedric the Entertainer, Edward Herrmann, Paul Adelstein, Richard Jenkins, Billy Bob Thornton, Julia Duffy, Jonathan Hadary, Tom Aldredge, Stacey Travis, Jack Kyle, Irwin Keyes, Judith Drake",George Clooney,"George Clooney, Catherine Zeta-Jones",A beautiful gold digger matches wits with a shrewd Beverly Hills divorce lawyer who is increasingly attracted to her.,A beautiful gold digger matches,6.2,89972,60000000,35327628,-24672372
The Road to El Dorado,2000,"Animation, Adventure, Comedy",89,USA,English,"Bibo Bergeron, Don Paul","Terry Rossio, Ted Elliott","Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante, Edward James Olmos, Jim Cummings, Frank Welker, Tobin Bell, Duncan Marjoribanks, Elijah Chiang, Cyrus Shaki-Khan, Elton John",Kevin Kline,"Kevin Kline, Kenneth Branagh","Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",Two swindlers get their hands,6.9,82217,95000000,50863742,-44136258
The Yards,2000,"Crime, Drama, Romance",115,USA,English,James Gray,"James Gray, Matt Reeves","Mark Wahlberg, Joaquin Phoenix, Charlize Theron, James Caan, Ellen Burstyn, Faye Dunaway, Steve Lawrence, Andy Davoli, Tony Musante, Victor Argo, Tomas Milian, Robert Montano, Victor Arnold, Chad Aaron, Louis Guss",Mark Wahlberg,"Mark Wahlberg, Joaquin Phoenix",Leo is released from prison after serving time for car theft. His plan to go straight falls apart when he meets his corrupt uncle for a job and later an old friend working there. It culminates at the (railroad) yards.,Leo is released from prison after,6.4,19633,24000000,889352,-23110648
Training Day,2001,"Crime, Drama, Thriller",122,USA,English,Antoine Fuqua,David Ayer,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Charlotte Ayanna, Eva Mendes, Nick Chinlund, Jaime Gomez, Raymond Cruz",Denzel Washington,"Denzel Washington, Ethan Hawke",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,A rookie cop spends his first,7.7,381509,45000000,76631907,31631907
U-571,2000,"Action, War",116,"France, USA, Italy",English,Jonathan Mostow,"Jonathan Mostow, Jonathan Mostow","Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi, David Keith, Thomas Kretschmann, Jake Weber, Jack Noseworthy, Tom Guiry, Will Estes, Terrence 'T.C.' Carson, Erik Palladino, Dave Power, Derk Cheetwood, Matthew Settle",Matthew McConaughey,Matthew McConaughey,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,A German submarine is boarded,6.6,75749,62000000,77122415,15122415
American Psycho,2000,"Comedy, Crime, Drama",101,"USA, Canada",English,Mary Harron,"Bret Easton Ellis, Mary Harron","Christian Bale, Justin Theroux, Josh Lucas, Bill Sage, Chloë Sevigny, Reese Witherspoon, Samantha Mathis, Matt Ross, Jared Leto, Willem Dafoe, Cara Seymour, Guinevere Turner, Stephen Bogaert, Monika Meier, Reg E. Cathey",Christian Bale,"Christian Bale, Justin Theroux","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",A wealthy New York City investment,7.6,473137,7000000,15070285,8070285
Nutty Professor II: The Klumps,2000,"Comedy, Romance, Sci-Fi",106,USA,English,Peter Segal,"Jerry Lewis, Steve Oedekerk","Eddie Murphy, Janet Jackson, Larry Miller, John Ales, Richard Gant, Anna Maria Horsford, Melinda McGraw, Jamal Mixon, Gabriel Williams, Chris Elliott, Duffy Taylor, Earl Boen, Nikki Cox, Freda Payne, Sylvester Jenkins",Eddie Murphy,"Eddie Murphy, Janet Jackson","Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.","Scientist Sherman Klump's inventions,",4.4,47646,84000000,123309890,39309890
Highlander: Endgame,2000,"Action, Adventure, Fantasy",87,"UK, USA, Luxembourg",English,Douglas Aarniokoski,"Gregory Widen, Eric Bernt","Adrian Paul, Christopher Lambert, Bruce Payne, Lisa Barbuscia, Donnie Yen, Jim Byrnes, Peter Wingfield, Damon Dash, Beatie Edney, Sheila Gish, Oris Erhuero, Ian Paul Cassidy, Adam Copeland, Mihnea Trusca, June Watson",Adrian Paul,"Adrian Paul, Christopher Lambert","Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",Immortals Connor and Duncan MacLeod,4.6,19127,25000000,12811858,-12188142
Spider-Man,2002,"Action, Adventure, Sci-Fi",121,USA,English,Sam Raimi,"Stan Lee, Steve Ditko","Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson, Rosemary Harris, J.K. Simmons, Joe Manganiello, Gerry Becker, Bill Nunn, Jack Betts, Stanley Anderson, Ron Perkins, Michael Papajohn, K.K. Dodds",Tobey Maguire,"Tobey Maguire, Willem Dafoe","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",When bitten by a genetically modified,7.3,675212,139000000,407022860,268022860
Thirteen Days,2000,"Drama, History, Thriller",145,USA,English,Roger Donaldson,"David Self, Ernest R. May","Shawn Driscoll, Kevin Costner, Drake Cook, Lucinda Jenney, Caitlin Wachs, Jon Foster, Matthew Dunn, Kevin O'Donnell, Janet Coleman, Bruce Thomas, Stephanie Romanov, Bruce Greenwood, Frank Wood, Dakin Matthews, Liz Sinclair",Shawn Driscoll,"Shawn Driscoll, Kevin Costner","In October 1962, the Kennedy administration struggles to contain the Cuban Missile Crisis.","In October 1962, the Kennedy administration",7.3,53099,80000000,34592089,-45407911
Lara Croft: Tomb Raider,2001,"Action, Adventure, Fantasy",100,"USA, UK, Japan, Germany",English,Simon West,"Sara B. Cooper, Mike Werb","Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor, Daniel Craig, Richard Johnson, Chris Barrie, Julian Rhind-Tutt, Leslie Phillips, Robert Phillips, Rachel Appleton, Henry Wyndham, David Cheung, David Tse, Ozzie Yue",Angelina Jolie,"Angelina Jolie, Jon Voight",Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,Video game adventurer Lara Croft,5.8,195155,115000000,131168070,16168070
High Fidelity,2000,"Comedy, Drama, Music",113,"UK, USA",English,Stephen Frears,"Nick Hornby, D.V. DeVincentis","John Cusack, Iben Hjejle, Todd Louiso, Jack Black, Lisa Bonet, Catherine Zeta-Jones, Joan Cusack, Tim Robbins, Chris Rehmann, Ben Carr, Lili Taylor, Joelle Carter, Natasha Gregson Wagner, Shannon Stillo, Drake Bell",John Cusack,"John Cusack, Iben Hjejle","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.","Rob, a record store owner and",7.5,165533,30000000,27287137,-2712863
The Legend of Bagger Vance,2000,"Drama, Fantasy, Sport",126,USA,English,Robert Redford,"Steven Pressfield, Jeremy Leven","Will Smith, Matt Damon, Charlize Theron, Bruce McGill, Joel Gretsch, J. Michael Moncrief, Peter Gerety, Lane Smith, Michael O'Neill, Thomas Jay Ryan, Trip Hamilton, Dermot Crowley, Harve Presnell, Danny Nelson, Bob Penny",Will Smith,"Will Smith, Matt Damon",A down-and-out golfer attempts to recover his game and his life with help from a mystical caddy.,A down-and-out golfer attempts,6.7,52789,80000000,30919168,-49080832
All the Pretty Horses,2000,"Drama, Romance, Western",116,USA,English,Billy Bob Thornton,"Cormac McCarthy, Ted Tally","Matt Damon, Henry Thomas, Penélope Cruz, Angelina Torres, J.D. Young, Laura Poe, Sam Shepard, Robert Patrick, Lucas Black, Yvette Diaz, Imelda Colindres, Augustin Solis, Rubén Blades, Elizabeth Ibarra, Miriam Colon",Matt Damon,"Matt Damon, Henry Thomas","Two Texas cowboys head to Mexico in search of work, but soon find themselves in trouble with the law after one of them falls in love with a wealthy rancher's daughter.",Two Texas cowboys head to Mexico,5.8,12778,57000000,15540353,-41459647
My Dog Skip,2000,"Comedy, Drama, Family",95,USA,English,Jay Russell,"Willie Morris, Gail Gilchriest","Luke Wilson, Frankie Muniz, Kevin Bacon, Diane Lane, Mark Beech, Susan Carol Davis, David Pickens, Bradley Coryell, Daylan Honeycutt, Cody Linley, Lucile Doan Ewing, Polly Craig, John Stiritz, Enzo, Moose",Luke Wilson,"Luke Wilson, Frankie Muniz","A shy boy grows up in 1940s Mississippi with the help of his beloved dog, Skip.",A shy boy grows up in 1940s Mississippi,7,19069,6000000,34134641,28134641
The Next Best Thing,2000,"Comedy, Drama, Romance",108,USA,English,John Schlesinger,Tom Ropelewski,"Madonna, Rupert Everett, Benjamin Bratt, Illeana Douglas, Michael Vartan, Josef Sommer, Malcolm Stumpf, Lynn Redgrave, Neil Patrick Harris, Mark Valley, Suzanne Krull, Stacy Edwards, John Carroll Lynch, Fran Bennett, Ricki Lopez",Madonna,"Madonna, Rupert Everett","Abbie, tired of failed relationships, has a one-night-stand with her gay friend; they agree to raise the resulting baby together.","Abbie, tired of failed relationships,",4.7,10660,25000000,14990582,-10009418
Clockstoppers,2002,"Action, Adventure, Comedy",94,USA,English,Jonathan Frakes,"Rob Hedden, Andy Hedden","Jesse Bradford, French Stewart, Paula Garcés, Michael Biehn, Robin Thomas, Garikayi Mutambirwa, Julia Sweeney, Lindze Letherman, Jason George, Linda Kim, Ken Jenkins, Esperanza Catubig, Jennifer Manley, Scott Thomson, Deborah Rawlings",Jesse Bradford,"Jesse Bradford, French Stewart",A teenager accidentally activates a machine that enables him to speed up his body so that other people seem to be standing still.,A teenager accidentally activates,5.2,13261,26000000,36989956,10989956
